Parent	Type	Child	Weight	Probability	Score
x_g1	+	x_g1	0.052405	0.089887	0.005989
x_g2	+	x_g1	0.084865	0.143486	0.015483
x_g3	-	x_g1	-0.095745	0.188632	-0.022964
x_g4	+	x_g1	0.010960	0.005094	0.000071
x_g5	+	x_g1	0.032926	0.015222	0.000637
x_g6	+	x_g1	0.085833	0.106606	0.011635
x_g7	-	x_g1	-0.031672	0.012260	-0.000494
x_g8	-	x_g1	-0.151082	0.588832	-0.113115
x_g9	-	x_g1	-0.786473	1.000000	-1.000000
x_g10	-	x_g1	-0.367250	0.999955	-0.466936
x_g11	-	x_g1	-0.210104	0.836869	-0.223567
x_g1	+	x_g2	0.106078	0.140211	0.018911
x_g2	+	x_g2	0.571440	1.000000	0.726586
x_g3	+	x_g2	0.368840	1.000000	0.468979
x_g4	-	x_g2	-0.045032	0.017824	-0.001021
x_g5	+	x_g2	0.058802	0.030863	0.002308
x_g6	+	x_g2	0.017482	0.003883	0.000086
x_g7	+	x_g2	0.035689	0.009692	0.000440
x_g8	+	x_g2	0.028401	0.181048	0.006538
x_g9	+	x_g2	0.004027	0.162339	0.000831
x_g10	+	x_g2	0.134017	0.292610	0.049861
x_g11	-	x_g2	-0.596159	1.000000	-0.758016
x_g1	+	x_g3	0.003364	0.050797	0.000217
x_g2	+	x_g3	0.536339	1.000000	0.681954
x_g3	+	x_g3	0.735419	1.000000	0.935084
x_g4	-	x_g3	-0.105862	0.068942	-0.009280
x_g5	-	x_g3	-0.033524	0.007565	-0.000322
x_g6	+	x_g3	0.086149	0.045286	0.004961
x_g7	+	x_g3	0.117661	0.086161	0.012890
x_g8	+	x_g3	0.065565	0.201628	0.016809
x_g9	-	x_g3	-0.045912	0.177711	-0.010374
x_g10	+	x_g3	0.172844	0.410662	0.090251
x_g11	+	x_g3	0.132212	0.200349	0.033680
x_g1	+	x_g4	0.207154	0.797595	0.210084
x_g2	-	x_g4	-0.081195	0.106151	-0.010959
x_g3	-	x_g4	-0.062506	0.075134	-0.005971
x_g4	+	x_g4	0.063747	0.040858	0.003312
x_g5	+	x_g4	0.066457	0.044177	0.003733
x_g6	+	x_g4	0.032268	0.009681	0.000397
x_g7	-	x_g4	-0.021564	0.004061	-0.000111
x_g8	-	x_g4	-0.187371	0.584877	-0.139343
x_g9	-	x_g4	-0.197157	0.676069	-0.169480
x_g10	+	x_g4	0.034585	0.191966	0.008442
x_g11	-	x_g4	-0.154514	0.337884	-0.066382
x_g1	+	x_g5	0.005632	0.059379	0.000425
x_g2	-	x_g5	-0.001388	0.030081	-0.000053
x_g3	-	x_g5	-0.109580	0.182984	-0.025495
x_g4	-	x_g5	-0.022124	0.006844	-0.000193
x_g5	-	x_g5	-0.043707	0.017936	-0.000997
x_g6	-	x_g5	-0.110762	0.119389	-0.016814
x_g7	+	x_g5	0.018097	0.003183	0.000073
x_g8	-	x_g5	-0.234859	0.852309	-0.254520
x_g9	-	x_g5	-0.178302	0.672910	-0.152556
x_g10	-	x_g5	-0.311118	0.999931	-0.395559
x_g11	+	x_g5	0.021097	0.095790	0.002570
x_g1	-	x_g6	-0.144719	0.199857	-0.036776
x_g2	-	x_g6	-0.085366	0.104284	-0.011319
x_g3	+	x_g6	0.000228	0.001928	0.000001
x_g4	-	x_g6	-0.008423	0.004496	-0.000048
x_g5	+	x_g6	0.006146	0.003895	0.000030
x_g6	+	x_g6	0.072098	0.045755	0.004194
x_g7	-	x_g6	-0.122425	0.129735	-0.020195
x_g8	-	x_g6	-0.379949	0.986387	-0.476528
x_g9	-	x_g6	-0.535752	1.000000	-0.681208
