Gene1	Gene2	Score
x_g8	x_g3	-0.540791271725376
x_g3	x_g8	-0.540791271725376
x_g1	x_g3	-0.489777658070752
x_g3	x_g1	-0.489777658070752
x_g3	x_g2	0.377033827822133
x_g4	x_g3	-0.374043937402301
x_g5	x_g3	-0.3268343439814
x_g8	x_g2	-0.304266407497239
x_g2	x_g8	-0.304266407497239
x_g2	x_g3	0.269762276347378
x_g7	x_g3	-0.250425785126178
x_g3	x_g6	-0.249933775084457
x_g4	x_g8	0.242109517598283
x_g2	x_g1	0.240632277597999
x_g3	x_g5	-0.236966381093204
x_g4	x_g2	-0.230073209690398
x_g5	x_g8	0.228965814999964
x_g5	x_g2	-0.227864259892313
x_g4	x_g5	0.227642879365923
x_g3	x_g4	-0.221801465190871
x_g5	x_g4	0.221322022138971
x_g1	x_g2	0.21968536623603
x_g7	x_g4	0.205148871252685
x_g4	x_g7	0.202594669013714
x_g3	x_g7	-0.198658010608383
x_g8	x_g1	0.195660231070101
x_g5	x_g1	0.195345090238244
x_g7	x_g5	0.194899682680376
x_g6	x_g3	-0.194895455476372
x_g6	x_g5	0.192435057729952
x_g7	x_g8	0.192208608651044
x_g8	x_g4	0.18955380614498
x_g7	x_g2	-0.189016332390778
x_g5	x_g7	0.185944305233586
x_g2	x_g5	0.182916073717783
x_g8	x_g6	0.179712622583329
x_g8	x_g5	0.178415161276475
x_g8	x_g7	0.177638366610392
x_g2	x_g6	-0.177374362572267
x_g2	x_g4	-0.173316933725907
x_g1	x_g6	0.173300270763465
x_g2	x_g7	-0.171461659343924
x_g6	x_g4	0.17137573249879
x_g4	x_g1	0.169702473832383
x_g6	x_g2	-0.166546566352621
x_g6	x_g8	0.165682756716243
x_g6	x_g7	0.164851898872763
x_g7	x_g1	0.160987530993273
x_g5	x_g6	0.15797105385702
x_g1	x_g8	0.150934647838488
x_g6	x_g1	0.149479391555881
x_g1	x_g4	-0.148875035928502
x_g1	x_g7	-0.14696959028018
x_g4	x_g6	0.14613808959819
x_g7	x_g6	0.139125650542846
x_g1	x_g5	-0.126347211387245
