Gene1	Gene2	Score
g3	g2	0.697230013898788
g2	g3	0.697230013898788
g8	g2	0.695488827872557
g4	g8	-0.687159093468057
g8	g4	-0.683647447017534
g2	g8	0.652455570834102
g1	g4	-0.640563428557235
g4	g1	-0.640563428557235
g3	g8	0.63795453904221
g4	g2	-0.634669946552643
g2	g4	-0.634669946552643
g8	g3	0.615588193998774
g4	g3	-0.599945220840415
g3	g4	-0.599945220840415
g1	g8	0.526538749097134
g8	g1	0.521370205616004
g6	g8	-0.490967635467954
g8	g6	-0.490228670179466
g1	g2	0.455567929558675
g7	g2	-0.448262081118031
g7	g3	-0.448250650941438
g2	g6	-0.4456032864065
g1	g3	0.434213853963687
g2	g7	-0.431513615383174
g2	g1	0.425244441590669
g7	g8	-0.422676890151406
g4	g6	0.419923716027464
g3	g6	-0.411864608517388
g3	g7	-0.406897765803691
g8	g7	-0.398757247176564
g6	g2	-0.395504163902736
g4	g7	0.381987275363164
g3	g1	0.372273695299811
g3	g5	-0.369037519240313
g7	g6	0.361296876980293
g1	g6	-0.356304444000424
g7	g1	-0.353204958447675
g1	g7	-0.353204958447675
g2	g5	-0.35182033474744
g7	g4	0.348829262467091
g6	g3	-0.344397023484796
g6	g4	0.332356678058736
g6	g1	-0.327608953967729
g8	g5	-0.321655408011807
g1	g5	-0.321456686608969
g4	g5	0.315003106010959
g5	g4	0.311306130322887
g5	g6	0.309044217432926
g5	g8	-0.307042017523458
g5	g2	-0.304290619326592
g7	g5	0.30328834403671
g5	g3	-0.301324842023844
g5	g7	-0.283398870233496
g6	g7	0.258836285318691
g6	g5	0.246345541800053
g5	g1	-0.227495599542215
