,x_g2,x_g3,x_g4,x_g1,x_g5,x_g6,x_g7,x_g8
1,1.0747173,1.2190875,-0.29218653,0.4035478,-0.69213015,-0.023800949,-1.0662086,0.20496354
6,0.72658986,-1.2566389,-0.20811659,1.3859878,0.47417337,-1.468741,-0.37675837,0.37722248
19,1.0701947,0.802696,0.99046606,1.1033325,-0.20147684,-1.1237682,-0.87890285,0.22867607
29,1.042757,1.1129731,-0.5795403,1.0724776,0.7571022,-1.2181085,-0.23316243,-0.18704847
31,1.1313536,-0.27805328,0.6937795,1.2654667,-0.14482298,-0.87601346,-0.3093345,0.123135366
32,1.0081985,0.89904004,0.020541148,1.1749816,-0.25937477,-1.5196693,-0.53942156,0.17508635
36,1.1459767,-0.89086246,0.643477,1.1943047,-0.57213265,-1.7020501,-1.3253876,0.3160314
46,1.1544677,0.66297704,-0.8796898,1.1963041,-0.0027261458,-0.91901034,-0.47441676,0.0120250415
54,1.1775262,0.41895512,-0.5788941,1.0894983,-0.7157546,-0.40210807,-0.21082494,0.29377857
55,0.89456224,-0.9559513,0.19933087,1.2739002,-0.8121529,-0.68869793,-0.34682816,0.5272852
58,-0.93176454,-1.8650056,-1.2921218,1.2194563,-1.0748302,-0.10371974,-1.0950063,0.9250034
59,1.0938259,0.6846282,-0.12451965,1.21504,-0.7274725,-0.57869375,-0.63311046,0.1124351
66,1.0809772,1.0042607,-0.27223554,1.0936487,-0.47911328,-1.0769557,-0.6565379,0.051721446
73,1.187432,0.63431245,0.028061694,1.1947722,-0.6962615,-0.9016271,-0.250881,-0.074474454
74,-0.7888838,-0.80640095,1.2190114,0.7107671,-0.8689354,-0.0057392674,-0.8142517,1.1421686
76,0.9984086,1.1720562,-0.082184486,1.1472625,-1.680186,-1.1960489,-1.3979669,-0.29188675
85,1.0826218,1.0155209,-0.6532871,1.1113019,-0.20934318,-1.2053554,-0.6578226,-0.01286517
96,1.0076175,0.8313023,-0.4466177,1.2426715,-0.38767615,-1.0791532,-0.9303033,0.09887996
98,-0.70427036,1.1157503,-0.42072964,1.2458321,-0.2085278,-1.6139842,-0.30586904,0.38522568
101,0.95677584,-0.97858983,-0.8745408,1.2793185,-0.559689,-0.6202795,-1.2167614,0.46871027
102,1.0472901,0.14904438,-0.19586314,1.1462004,0.4383495,-1.5636268,-0.30179513,0.48667595
108,0.990948,1.0151616,-1.3664062,1.1305102,-0.30812722,-0.51217586,-0.8704818,0.14115849
123,1.1821582,0.6802415,0.1323634,1.1249218,-1.1671835,-0.643695,-0.36200747,0.083651155
125,1.1557301,0.89210063,-1.4574009,1.1684295,-0.15258737,-0.89575076,-0.3207963,-0.18730663
128,1.1157889,-0.8870843,-0.15696213,1.2535207,-0.5440352,-0.66910493,-0.49775988,0.2634518
