,x_g1,x_g2,x_g3,x_g4,x_g5,x_g6,x_g7,x_g8,x_g9,x_g10,x_g11
1,0.941616,0.7993352,-2.2868624,-0.20978835,1.1645342,-0.9329662,0.93068284,-2.0264733,-1.0545065,-0.63118696,0.63338816
2,0.74226874,0.6867027,0.6470745,1.5963483,0.788245,0.1504038,0.575503,-0.0771741,-1.1392659,-0.60829383,-0.4791582
3,0.5558757,0.69469714,0.64105415,2.3003185,-0.42791322,0.75358075,0.87844104,-2.041437,-1.6939635,-0.2901345,-0.5320887
7,0.737428,0.52375257,0.6998539,2.0842085,-0.58133096,1.4872833,0.88001734,-1.2815021,-1.2092804,-1.7914529,-0.14147975
11,1.0160465,0.729845,-1.994288,-0.9265451,-0.99412936,-1.1681284,0.06427326,-1.6983202,-0.073605455,-0.31242234,-1.4202284
13,0.70881253,0.6175725,0.8764914,0.8704793,0.042935852,-0.60972565,-0.93753654,-1.0479097,-0.6498136,0.07370043,-0.97935975
26,0.60558975,0.63665843,0.63163614,0.7399093,2.3668575,-0.8515128,0.7304252,-0.6251511,-0.5513874,-0.4284801,-0.62887084
31,0.7884722,0.59698594,0.6376136,0.3222946,1.9056033,-0.42097116,-0.06101353,-1.0938482,-0.24766701,0.17620592,-0.11988862
33,0.96083677,0.80557317,-0.91651434,0.37741122,-0.15100119,-0.43557867,0.6555791,-1.7468379,-0.62419504,-0.3297377,-0.7601575
34,0.78230095,0.72236484,0.57351553,1.4719284,0.10784597,0.85639334,-0.16695632,-1.3406305,-0.46426705,-0.67959976,0.13314356
35,1.1809795,-0.9936487,-1.1806228,0.7011646,0.72449523,0.7086402,0.7899608,-0.5049358,-0.31405708,-0.08404078,0.12539284
42,0.65395594,0.5439426,0.6360253,2.3223019,-0.631104,1.659351,-1.546164,-1.1922452,-0.39455265,-0.39041758,-0.72644544
44,0.65898824,0.6053731,0.6740941,-1.1342368,2.3389902,-0.3827451,-0.41302368,-0.7660376,-0.66603374,-0.77029854,-0.79879934
45,0.6260335,0.7840921,0.6183142,1.9032037,0.52393657,0.10141183,-1.3941286,-1.0053526,-1.0168318,-0.155003,-0.14032681
