Regulator	Target	SINGE_Score
x_g8	x_g2	6
x_g3	x_g1	0.66666
x_g2	x_g3	0.375
x_g5	x_g2	0.24
x_g1	x_g3	0.09375
x_g8	x_g4	0.07407
x_g6	x_g1	0.04958
x_g4	x_g7	0.04166
x_g3	x_g5	0.03061
x_g8	x_g5	0.02666
x_g4	x_g2	0.02343
x_g3	x_g7	0.01851
x_g1	x_g6	0.01662
x_g2	x_g4	0.015
x_g3	x_g2	0.0136
x_g5	x_g1	0.01239
x_g1	x_g5	0.01134
x_g7	x_g1	0.01041
x_g5	x_g3	0.0096
x_g2	x_g6	0.00887
x_g6	x_g2	0.00823
x_g7	x_g3	0.00765
x_g5	x_g6	0.00713
x_g7	x_g2	0.00666
x_g5	x_g4	0.00585
x_g1	x_g2	0.0055
x_g1	x_g4	0.00519
x_g4	x_g5	0.00489
x_g5	x_g8	0.00462
x_g8	x_g3	0.00438
x_g4	x_g3	0.00415
x_g2	x_g7	0.00394
x_g2	x_g8	0.00375
x_g5	x_g7	0.00356
x_g4	x_g8	0.0034
x_g4	x_g6	0.00309
x_g6	x_g4	0.00296
