T,s,S,R3,z,Z,R2,E,N,PseudoTime
0.09600348,0.008450378,1.1547292,0.0017565964000000002,0.006447539699999999,0.033272766,0.011188518,0.64412457,0.9168857,0.14126073
0.09833066,0.010319847,1.1653209,-0.0005974437,0.0031382642,0.031184385,0.011181316,0.6532602,0.92200255,0.11434176
0.10193562,0.018126145,1.1781428999999999,-0.004242434000000001,0.0005561468,0.032614923999999997,0.012326973,0.6578768,0.92373335,0.10440656
0.09917993,0.016339058,1.1958947,-0.006635435,-0.002315255,0.03155777,0.012394368000000001,0.6585726,0.921891,0.01611167
0.10097515,0.011752587,1.2036867,-0.008966011999999999,-0.004496966,0.035049032,0.008635376,0.6605023,0.9211427,0.0
0.10299981,0.009458274000000001,1.2133745,-0.0075456337,-0.0055635828,0.035306815,0.009218089,0.6619354000000001,0.91944623,0.0041450458
0.09925931,0.00808112,1.2097635,-0.0033293806,-0.0005532194999999999,0.03489118,0.009331615,0.66212946,0.92242974,0.0082606925
0.09816723,0.0072971764,1.2090439,-0.004131462,-0.004560889,0.038190812000000005,0.01066098,0.6626485,0.9274783000000001,0.006132778
0.100193694,0.007647003,1.2120205,0.0044485787,-0.004706504,0.03592259,0.014066876,0.6609351,0.92939276,0.009764016
0.09700999,0.0072305505,1.2117091,0.0025522764999999998,-0.006978587,0.038929857000000005,0.012404874,0.6675412,0.93098277,0.013578818999999999
0.09892279,0.006809292,1.2094178999999998,0.007021659,-0.006625761700000001,0.040478653999999996,0.013072696000000002,0.6694873,0.9344083000000001,0.008817106
0.09815328,0.01156083,1.2096412,-0.0042002867,0.0017997741000000001,0.031454574,0.005080193,0.63774174,0.8631951999999999,0.17262836
0.10261645,0.010636718,1.2039973999999998,-0.0016270473999999999,-0.0061532309999999995,0.033205072999999995,0.008402769000000001,0.63540196,0.86702037,0.18686454
0.10359293,0.008734266,1.2025656,0.0006012637,-0.0034507052,0.03809669,0.0007080664500000001,0.6391247,0.876337,0.18037291
0.099771015,0.008153473,1.2012037,0.0022217776,0.00095426355,0.03607601,-0.0028444158,0.6413169,0.88080865,0.16295849
0.09842141,0.008115383,1.1949657,-0.00054929464,0.0061478936,0.03591151,-0.0013334252,0.64120275,0.88853693,0.17207973
0.100206725,0.0093310075,1.1983689,-0.0010571050999999998,0.003907666,0.046324775,-0.0012081156,0.6439465,0.89377135,0.15722741
0.09989077,0.01232076,1.1925223999999999,0.004748833,0.006857782,0.04590607,0.003915132,0.64671654,0.8952678,0.17949946
0.10102931400000001,0.009363277,1.1905441,0.004532136500000001,0.008482196,0.04609571,0.0039165565000000005,0.6490448,0.8971237,0.18079288
0.09887509,0.005056663,1.1918871000000002,0.003642425,0.0022912924,0.046080496,0.0026894144,0.65386266,0.8956883,0.18449518
0.092932574,0.004956659,1.1921415000000002,0.0016507779999999999,0.000745048,0.046470217,0.0028776068,0.6569381999999999,0.8999254000000001,0.17506288
0.08987922,0.006763385,1.1452723,0.0026170912,0.0031556536,0.029827597,0.010596838999999999,0.6412339,0.9608681,0.19157416
0.09668493,0.0046900557,1.1718639,0.00019316665000000002,0.0012437063000000001,0.03283312,0.010339402,0.64327896,0.95639575,0.16030881
0.09573153,0.008317239,1.1978034,-0.0018104666,0.0018266917,0.033004336,0.013258886000000001,0.64253104,0.95158863,0.14643334
0.09444789,0.004587964,1.2231471999999999,-0.0065709343,0.0024447853,0.037647057000000005,0.013977578999999999,0.6441858,0.9523621999999999,0.13591507
0.09901865,0.005421048,1.2485532,-0.010882912,0.00012318578000000002,0.04051995,0.018972907,0.64697665,0.95195264,0.21277525
0.108845174,0.0071047409999999995,1.2710887,-0.011698674,-0.00037300370000000003,0.041243702,0.017156051000000002,0.6403123000000001,0.95349973,0.26481044
0.11131277,0.009038688000000001,1.2980098999999998,-0.016873926,-0.0028227589,0.04332232,0.017355238999999998,0.6465698000000001,0.9536538,0.29395673
0.11176617400000001,0.008860391,1.332881,-0.017920755,-0.0048088674,0.047599114000000005,0.022984103999999998,0.6482243000000001,0.9504219,0.3516915
0.11332804,0.0071835793,1.3705597,-0.017155278,-0.00625109,0.044847902,0.017042637,0.6566489000000001,0.9500950999999999,0.40911344
0.1141973,0.007830451,1.4057505,-0.017623238,-0.0086233355,0.03917445,0.016178988000000002,0.65433806,0.9440731,0.39943534
0.09226997,0.010001879,1.0682521,0.00017612023000000002,0.0017530591,0.029791944,0.011632085,0.7758026,0.78968984,0.29337734
0.09349971,0.009953249,1.0741941000000002,0.0055007637,-0.00029557119999999997,0.03142463,0.017724747,0.7650291,0.804284,0.30203196
0.09748972,0.014422115,1.0805082000000001,0.0072010513,0.003140731,0.031710643,0.017073246,0.75725436,0.8207747999999999,0.29555187
0.09621391,0.019206002,1.0850437,0.008714681,0.0009242147,0.03223114,0.019778252,0.75221294,0.8307441999999999,0.2980402
0.09814019,0.022681484,1.0933986999999998,0.005913427,0.004348447,0.03150325,0.018378023,0.74215645,0.83775115,0.29694855
0.09927675,0.019379029,1.1093508,0.0019009167000000001,0.003907123,0.029230928,0.015616706999999999,0.7356825,0.84088236,0.3078281
0.09298777,0.016313715,1.1260046000000001,-0.0028994960999999997,0.0048787990000000005,0.029269181000000002,0.019223854,0.72495717,0.85255986,0.24485998
0.09199878,0.010405006999999999,1.145605,-0.0020571982,0.0051787607,0.028269857000000002,0.016681544,0.71436,0.86523974,0.23914355
0.09039384,0.012141559,1.1571611000000002,-0.001246489,0.005422544699999999,0.030056085,0.018891368000000002,0.7123297,0.8707718000000001,0.24684684
0.091810316,0.015417936,1.1674601,0.0016138245000000002,0.0015108607000000002,0.03254231,0.02138681,0.70511943,0.87924224,0.21191557
0.08829743400000001,0.010602782,1.2580613,0.005105957,0.005233489,0.032541495,0.015070418,0.657929,0.95904255,0.31963474
0.08274896400000001,0.005646562700000001,1.2510941999999998,0.006380213000000001,0.008186879000000001,0.03546664,0.018154714,0.6586201999999999,0.9532758,0.33176613
0.07934122,0.0018137065,1.2536671999999998,0.0038813648,0.006512696,0.030108364,0.018265335,0.6604698,0.9535568000000001,0.3096506
0.08039605,0.0023720092,1.2508771,0.0017896932999999999,0.009260306,0.035757814,0.010850105,0.65786505,0.9529233,0.34422234
0.07836585,0.0046888254999999995,1.2528223,0.0032663005,0.009306950500000001,0.032152127,0.0075488654,0.65647745,0.9557197000000001,0.32106399999999996
0.07428961,0.004288063,1.2450288999999999,0.00297549,0.0026635667,0.032544788,0.0061632474,0.6587893,0.9480011999999999,0.32802892
0.07858792,0.003855414,1.2317518,0.0014619642000000001,0.0034250724,0.02954449,0.0042796745,0.65901995,0.94667107,0.37564640000000005
