Gene,StateA,StateB
g4,cell_0,cell_10
g6,cell_0,cell_43
g3,cell_0,cell_303
g5,cell_0,cell_438
g1,cell_0,cell_612
g8,cell_5,cell_84
g3,cell_5,cell_523
g6,cell_5,cell_925
g4,cell_5,cell_1033
g11,cell_5,cell_1618
g2,cell_5,cell_1864
g7,cell_8,cell_90
g4,cell_8,cell_371
g11,cell_8,cell_1655
g9,cell_8,cell_1844
g4,cell_10,cell_0
g6,cell_10,cell_32
g1,cell_10,cell_743
g5,cell_10,cell_795
g3,cell_10,cell_884
g11,cell_12,cell_178
g5,cell_12,cell_223
g1,cell_12,cell_701
g2,cell_12,cell_766
g3,cell_12,cell_1263
g4,cell_12,cell_1552
g2,cell_14,cell_1853
g8,cell_16,cell_85
g2,cell_16,cell_1408
g3,cell_16,cell_1619
g7,cell_18,cell_32
g11,cell_18,cell_942
g3,cell_20,cell_96
g10,cell_20,cell_137
g4,cell_20,cell_401
g2,cell_20,cell_429
g1,cell_20,cell_847
g11,cell_20,cell_1334
g7,cell_20,cell_1397
g6,cell_20,cell_1836
g11,cell_29,cell_43
g5,cell_29,cell_61
g1,cell_29,cell_96
g7,cell_29,cell_615
g3,cell_29,cell_847
g2,cell_29,cell_904
g4,cell_29,cell_1299
g6,cell_32,cell_10
g7,cell_32,cell_18
g4,cell_32,cell_43
g3,cell_32,cell_512
g11,cell_32,cell_1299
g2,cell_32,cell_1807
g1,cell_32,cell_1909
g9,cell_38,cell_151
g2,cell_38,cell_172
g4,cell_38,cell_326
g7,cell_38,cell_767
g11,cell_38,cell_1038
g10,cell_38,cell_1218
g6,cell_38,cell_1695
g3,cell_38,cell_1926
g11,cell_40,cell_90
g5,cell_40,cell_326
g6,cell_40,cell_1048
g7,cell_40,cell_1655
g6,cell_43,cell_0
g11,cell_43,cell_29
g4,cell_43,cell_32
g2,cell_43,cell_195
g3,cell_43,cell_413
g5,cell_43,cell_764
g1,cell_43,cell_1232
g9,cell_51,cell_116
g4,cell_51,cell_362
g11,cell_51,cell_412
g2,cell_51,cell_606
g7,cell_55,cell_132
g11,cell_55,cell_162
g4,cell_55,cell_223
g1,cell_55,cell_238
g2,cell_55,cell_512
g6,cell_55,cell_1129
g5,cell_55,cell_1552
g3,cell_55,cell_1807
g5,cell_61,cell_29
g3,cell_61,cell_236
g1,cell_61,cell_321
g11,cell_61,cell_764
g7,cell_61,cell_1302
g6,cell_61,cell_1783
g5,cell_62,cell_75
g6,cell_62,cell_113
g7,cell_62,cell_125
g11,cell_62,cell_505
g10,cell_62,cell_1202
g1,cell_62,cell_1530
g3,cell_62,cell_1983
g7,cell_74,cell_607
g2,cell_74,cell_1185
g5,cell_75,cell_62
g6,cell_75,cell_178
g2,cell_75,cell_623
g4,cell_76,cell_110
g3,cell_76,cell_268
g2,cell_76,cell_575
g11,cell_76,cell_644
g10,cell_76,cell_1137
g8,cell_76,cell_1359
g3,cell_80,cell_270
g2,cell_80,cell_339
g8,cell_80,cell_388
g11,cell_80,cell_397
g5,cell_80,cell_430
g6,cell_80,cell_602
g4,cell_80,cell_927
g8,cell_84,cell_5
g11,cell_84,cell_218
g2,cell_84,cell_268
g4,cell_84,cell_311
g6,cell_84,cell_344
g3,cell_84,cell_575
g8,cell_85,cell_16
g11,cell_85,cell_314
g9,cell_85,cell_349
g3,cell_85,cell_362
g2,cell_85,cell_694
g5,cell_85,cell_1448
g10,cell_85,cell_1554
g7,cell_90,cell_8
g11,cell_90,cell_40
g5,cell_90,cell_245
g6,cell_90,cell_566
g4,cell_90,cell_620
g9,cell_90,cell_1050
g3,cell_90,cell_1851
g3,cell_96,cell_20
g1,cell_96,cell_29
g7,cell_96,cell_212
g5,cell_96,cell_321
g2,cell_96,cell_379
g4,cell_96,cell_603
g10,cell_96,cell_734
g6,cell_96,cell_813
g11,cell_96,cell_1232
g4,cell_97,cell_137
g2,cell_97,cell_396
g10,cell_97,cell_401
g6,cell_97,cell_419
g3,cell_97,cell_420
g7,cell_97,cell_1518
g3,cell_98,cell_162
g1,cell_98,cell_217
g6,cell_98,cell_335
g4,cell_98,cell_904
g2,cell_98,cell_1299
g11,cell_98,cell_1807
g6,cell_105,cell_1561
g10,cell_106,cell_112
g1,cell_106,cell_223
g4,cell_106,cell_238
g6,cell_106,cell_264
g11,cell_106,cell_429
g5,cell_106,cell_701
g3,cell_106,cell_881
g2,cell_106,cell_1334
g7,cell_106,cell_1711
g4,cell_110,cell_76
g11,cell_110,cell_191
g3,cell_110,cell_197
g2,cell_110,cell_299
g6,cell_110,cell_431
g10,cell_112,cell_106
g3,cell_112,cell_399
g11,cell_112,cell_793
g7,cell_112,cell_817
g6,cell_112,cell_858
g6,cell_113,cell_62
g4,cell_113,cell_162
g5,cell_113,cell_178
g11,cell_113,cell_223
g1,cell_113,cell_429
g7,cell_113,cell_495
g2,cell_113,cell_847
g3,cell_113,cell_904
g9,cell_115,cell_490
g5,cell_115,cell_1218
g7,cell_115,cell_1852
g9,cell_116,cell_51
g6,cell_116,cell_137
