,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11
cell_0,False,False,True,False,False,True,False,True,True,True,True
cell_5,True,True,False,True,True,False,True,True,False,False,True
cell_8,True,True,True,True,True,True,True,True,True,False,True
cell_10,False,False,True,True,False,True,False,True,True,True,True
cell_12,False,True,False,False,True,False,False,True,True,True,True
cell_14,True,False,True,False,True,False,True,True,False,True,True
cell_16,True,False,True,True,False,True,False,False,False,False,False
cell_17,True,False,False,False,True,True,True,True,False,True,True
cell_18,False,False,True,True,False,False,True,True,True,True,True
cell_20,True,False,False,False,False,False,False,True,True,True,False
cell_29,False,False,True,False,False,False,False,True,True,True,False
cell_32,False,False,True,True,False,False,False,True,True,True,True
cell_38,True,True,True,False,False,True,False,True,True,False,False
cell_40,True,True,True,True,True,True,False,True,True,False,False
cell_43,False,False,True,False,False,False,False,True,True,True,True
cell_51,True,False,False,False,False,True,False,True,False,False,False
cell_55,False,True,False,True,False,False,False,True,True,True,True
cell_61,False,False,True,False,True,False,False,True,True,True,False
cell_62,False,True,False,False,False,True,False,True,True,True,False
cell_64,True,False,True,False,False,True,True,True,False,False,False
cell_74,True,False,True,False,False,True,True,True,True,False,True
cell_75,False,True,False,False,True,True,False,True,True,True,False
cell_76,True,False,True,True,True,False,True,False,False,False,True
cell_80,True,True,True,False,True,False,True,True,False,False,False
cell_84,True,True,False,True,True,False,True,False,False,False,True
cell_85,True,False,True,True,False,True,False,True,False,False,False
cell_90,True,True,True,True,True,True,False,True,True,False,True
cell_96,True,False,True,False,False,False,False,True,True,True,False
cell_97,True,False,False,True,False,False,False,True,True,False,False
cell_98,False,True,True,True,False,False,False,True,True,True,False
cell_105,True,True,False,True,False,True,True,True,True,True,False
cell_106,True,True,False,False,False,False,False,True,True,True,True
cell_110,True,False,True,False,True,False,True,False,False,False,True
cell_112,True,True,False,False,False,False,False,True,True,False,True
cell_113,False,True,False,False,False,False,False,True,True,True,False
cell_115,True,True,True,False,True,True,False,True,True,True,False
cell_116,True,False,False,False,False,True,False,True,True,False,False
cell_121,True,True,False,True,True,False,False,True,True,True,False
cell_125,False,True,False,False,False,True,True,True,True,True,False
cell_128,True,False,False,True,True,True,False,True,False,False,False
cell_130,True,True,False,False,False,True,True,True,True,True,True
cell_132,False,True,False,True,False,False,True,True,True,True,True
cell_137,True,False,False,False,False,False,False,True,True,False,False
cell_151,True,True,True,False,False,True,False,True,False,False,False
cell_162,False,True,False,True,False,False,False,True,True,True,False
cell_172,True,False,True,False,False,True,False,True,True,False,False
cell_175,True,True,True,True,False,False,False,True,True,False,False
cell_178,False,True,False,False,True,False,False,True,True,True,False
cell_182,True,False,False,True,True,True,True,False,False,True,True
cell_188,True,True,False,False,False,True,True,True,True,False,False
cell_191,True,False,True,False,True,False,True,False,False,False,False
cell_194,True,True,True,True,True,False,True,False,False,False,False
cell_195,False,True,True,False,False,False,False,True,True,True,True
cell_197,True,False,False,False,True,False,True,False,False,False,True
cell_206,True,False,True,False,False,False,True,True,True,False,False
cell_212,True,False,True,False,False,False,True,True,True,True,False
cell_216,True,True,True,False,False,False,False,True,False,False,True
cell_217,True,True,True,True,False,False,False,True,True,True,False
cell_218,True,True,False,True,True,False,True,False,False,False,False
cell_222,True,True,False,True,False,True,False,True,False,False,True
cell_223,False,True,False,False,False,False,False,True,True,True,True
cell_232,True,False,False,True,True,False,False,True,True,False,True
cell_236,False,False,False,False,True,False,False,True,True,True,False
cell_238,True,True,False,True,False,False,False,True,True,True,True
cell_245,True,True,True,True,False,True,False,True,True,False,True
cell_248,False,False,False,True,False,False,False,True,True,True,False
cell_264,True,True,False,False,False,True,False,True,True,True,True
cell_268,True,False,False,True,True,False,True,False,False,False,True
cell_270,True,True,False,False,True,False,True,True,False,False,False
cell_272,False,False,False,True,True,False,False,True,True,True,True
cell_281,True,True,False,False,True,False,True,True,True,False,True
cell_286,True,False,False,True,False,True,False,True,True,False,True
cell_289,True,False,True,False,True,True,False,True,True,False,False
cell_299,True,True,True,False,True,False,True,False,False,False,True
cell_303,False,False,False,False,False,True,False,True,True,True,True
cell_304,False,False,False,True,False,True,False,True,True,True,False
cell_311,True,True,False,False,True,False,True,False,False,False,True
cell_314,True,False,True,True,False,True,False,True,False,False,True
cell_320,True,True,True,False,False,True,False,True,False,True,True
cell_321,True,False,True,False,True,False,False,True,True,True,False
cell_326,True,True,True,True,False,True,False,True,True,False,False
cell_329,True,True,True,True,False,False,True,True,False,False,True
cell_335,False,True,True,True,False,True,False,True,True,True,False
cell_339,True,False,True,False,True,False,True,True,False,False,False
cell_344,True,True,False,True,True,True,True,False,False,False,True
cell_346,False,False,True,True,False,True,False,True,True,False,False
cell_349,True,False,True,True,False,True,False,True,True,False,False
cell_362,True,False,False,True,False,True,False,True,False,False,False
cell_371,True,True,True,False,True,True,True,True,True,False,True
cell_373,True,True,True,False,True,True,True,False,False,False,True
cell_374,True,True,True,True,True,True,False,True,False,True,True
cell_375,False,True,False,True,True,False,False,True,True,True,False
cell_378,True,True,False,False,True,True,False,True,False,True,True
cell_379,True,True,True,False,False,False,False,True,True,True,False
cell_382,True,True,False,True,False,True,False,True,False,False,False
cell_384,True,True,True,True,False,False,True,True,True,False,True
cell_388,True,True,True,False,True,False,True,False,False,False,False
cell_390,True,True,False,True,False,True,True,True,False,False,True
cell_394,True,False,False,False,False,True,False,True,True,False,True
cell_396,True,True,False,True,False,False,False,True,True,False,False
cell_397,True,True,True,False,True,False,True,True,False,False,True
cell_399,True,True,True,False,False,False,False,True,True,False,True
cell_401,True,False,False,True,False,False,False,True,True,True,False
cell_409,False,False,False,True,True,False,False,True,True,True,False
cell_412,True,False,False,False,False,True,False,True,False,False,True
cell_413,False,False,False,False,False,False,False,True,True,True,True
cell_419,True,False,False,True,False,True,False,True,True,False,False
cell_420,True,False,True,True,False,False,False,True,True,False,False
cell_424,True,False,False,False,True,True,False,True,True,True,False
cell_425,True,True,True,True,False,False,False,True,True,False,True
cell_429,True,True,False,False,False,False,False,True,True,True,False
cell_430,True,True,True,False,False,False,True,True,False,False,False
cell_431,True,False,True,False,True,True,True,False,False,False,True
cell_435,True,True,False,True,True,True,False,True,False,False,True
cell_438,False,False,True,False,True,True,False,True,True,True,True
cell_440,True,False,True,False,True,True,False,True,True,True,True
cell_447,True,False,True,True,True,True,True,False,False,False,False
cell_448,True,False,True,True,False,True,False,True,True,True,False
cell_451,False,True,True,False,False,False,True,True,True,True,True
cell_463,True,False,False,False,True,True,True,False,False,False,True
cell_470,True,True,False,True,False,True,False,True,True,False,True
cell_473,False,True,True,False,False,False,True,True,True,True,False
cell_488,True,True,True,True,False,False,False,True,True,True,True
cell_490,True,True,True,False,True,True,False,True,False,True,False
cell_495,False,True,False,False,False,False,True,True,True,True,False
cell_496,True,True,True,True,False,False,True,True,True,False,False
cell_505,False,True,False,False,False,True,False,True,True,True,True
cell_511,True,False,False,True,True,False,True,True,True,True,True
cell_512,False,False,False,True,False,False,False,True,True,True,True
cell_523,True,True,True,True,True,False,True,True,False,False,True
cell_528,True,False,False,True,True,True,True,False,False,False,True
cell_530,False,True,False,True,True,True,True,True,True,True,True
cell_531,True,False,False,False,False,False,True,True,True,True,True
cell_536,True,False,False,False,True,True,False,True,True,False,False
cell_543,True,False,True,False,True,False,True,True,True,False,True
cell_547,True,True,False,False,False,True,True,True,True,False,True
cell_548,True,True,False,False,True,True,False,True,True,True,True
cell_563,True,False,True,False,True,True,False,True,True,False,True
cell_566,True,True,True,True,True,False,False,True,True,False,True
cell_573,True,True,False,False,True,False,True,False,False,False,False
cell_575,True,True,True,True,True,False,True,False,False,False,True
cell_579,False,True,True,False,True,True,False,True,True,True,True
cell_590,True,True,True,False,True,True,False,True,False,False,False
cell_601,True,False,False,False,False,True,True,True,True,True,True
cell_602,True,True,True,False,True,True,True,True,False,False,False
cell_603,True,False,True,True,False,False,False,True,True,True,False
cell_606,True,True,False,False,False,True,False,True,False,False,False
cell_607,True,False,True,False,False,True,False,True,True,False,True
cell_612,True,False,True,False,False,True,False,True,True,True,True
cell_615,False,False,True,False,False,False,True,True,True,True,False
cell_616,False,True,False,False,False,False,True,True,True,True,True
cell_620,True,True,True,False,True,True,False,True,True,False,True
cell_623,False,False,False,False,True,True,False,True,True,True,False
cell_627,False,False,True,False,False,False,True,True,True,False,False
cell_635,True,True,True,True,False,True,True,True,False,True,True
cell_636,True,False,False,False,True,False,True,True,False,False,False
cell_643,True,True,False,True,False,False,True,True,True,False,True
cell_644,True,False,True,True,True,False,True,False,False,False,False
cell_647,True,False,True,True,False,False,False,True,True,False,True
cell_653,True,False,False,False,True,False,True,False,False,False,False
cell_670,True,True,False,True,False,False,True,True,True,False,False
cell_675,True,False,False,True,False,True,False,True,False,False,True
cell_678,True,True,True,True,False,True,False,True,True,True,True
cell_685,True,True,False,False,False,False,True,True,True,False,False
cell_693,True,True,True,False,True,False,True,True,True,False,True
cell_694,True,True,True,True,False,True,False,True,False,False,False
cell_701,True,True,False,False,True,False,False,True,True,True,True
cell_716,True,True,False,True,False,True,False,False,False,False,False
cell_720,True,False,False,False,True,False,True,True,False,False,True
cell_727,True,False,True,True,True,True,False,True,False,False,True
cell_734,True,False,True,False,False,False,False,True,True,False,False
cell_741,False,False,True,False,True,True,True,True,True,True,False
cell_743,True,False,True,True,False,True,False,True,True,True,True
cell_752,True,False,True,False,False,False,False,True,True,False,True
cell_760,True,True,False,True,False,False,True,True,False,False,False
cell_764,False,False,True,False,True,False,False,True,True,True,True
cell_766,False,False,False,False,True,False,False,True,True,True,True
cell_767,True,True,True,False,False,True,True,True,True,False,False
cell_777,True,False,False,True,True,False,True,False,False,False,False
cell_793,True,True,False,False,False,False,False,True,True,False,False
cell_795,False,False,True,True,True,True,False,True,True,True,True
cell_813,True,False,True,False,False,True,False,True,True,True,False
cell_816,True,False,True,True,True,False,False,True,True,False,False
cell_817,True,True,False,False,False,False,True,True,True,False,True
cell_823,True,True,True,False,False,True,False,True,False,False,True
cell_828,True,False,True,False,True,True,True,False,False,True,True
cell_838,True,True,False,True,False,True,False,True,True,False,False
cell_839,True,False,False,False,True,True,True,True,False,False,False
cell_847,False,False,False,False,False,False,False,True,True,True,False
cell_858,True,True,False,False,False,True,False,True,True,False,True
cell_861,True,True,True,True,False,False,True,True,True,True,False
cell_865,True,True,True,False,True,False,True,False,False,True,True
cell_876,True,True,False,False,True,True,False,True,True,False,False
cell_881,True,True,True,False,False,False,False,True,True,True,True
cell_884,False,False,False,True,False,True,False,True,True,True,True
cell_888,True,True,True,True,False,True,False,True,False,False,True
cell_904,False,True,True,False,False,False,False,True,True,True,False
cell_905,True,True,True,True,False,True,False,False,False,False,True
cell_925,True,True,False,True,True,True,True,True,False,False,True
cell_927,True,True,True,True,True,False,True,True,False,False,False
cell_928,True,False,False,False,True,False,True,True,True,True,True
cell_942,False,False,True,True,False,False,True,True,True,True,False
cell_960,True,True,False,False,True,True,True,True,True,True,True
cell_964,True,True,False,False,False,True,False,True,False,False,True
cell_969,True,True,True,False,False,False,True,True,True,False,True
cell_973,True,True,False,False,False,False,True,True,False,False,False
cell_996,False,False,True,False,True,True,True,True,True,True,True
cell_1001,True,True,True,True,False,True,True,True,False,False,False
cell_1033,True,True,False,False,True,False,True,True,False,False,True
cell_1038,True,True,True,False,False,True,False,True,True,False,True
cell_1042,True,True,True,True,False,True,True,True,True,False,False
cell_1048,True,True,True,True,True,False,False,True,True,False,False
cell_1050,True,True,True,True,True,True,False,True,False,False,True
cell_1058,True,False,True,True,True,False,True,True,False,False,False
cell_1062,True,False,False,True,True,True,True,True,False,False,True
cell_1086,True,False,False,True,True,True,False,True,True,False,True
cell_1093,True,True,False,False,True,False,False,True,True,True,False
cell_1102,True,True,False,False,True,True,False,True,True,False,True
cell_1115,True,True,False,False,False,True,False,True,False,True,True
cell_1117,True,False,False,False,False,False,True,True,True,False,True
cell_1129,False,True,False,True,False,True,False,True,True,True,True
cell_1131,True,True,False,True,True,True,False,True,False,True,False
cell_1137,True,False,True,True,True,False,True,False,False,True,True
cell_1153,True,False,False,True,True,True,False,True,False,False,True
cell_1161,True,False,False,False,False,False,True,True,True,False,False
cell_1167,True,False,True,True,True,True,True,True,False,False,False
cell_1179,True,False,False,True,True,False,True,True,True,True,False
cell_1180,True,True,False,True,True,False,False,True,True,False,False
cell_1185,True,True,True,False,False,True,True,True,True,False,True
cell_1187,True,True,False,False,True,True,True,False,False,True,True
cell_1202,False,True,False,False,False,True,False,True,True,False,False
cell_1208,True,True,True,True,True,False,True,False,False,True,False
cell_1218,True,True,True,False,False,True,False,True,True,True,False
cell_1221,True,False,True,True,False,True,False,True,False,True,True
cell_1225,True,False,True,True,False,True,True,True,False,False,True
cell_1228,True,True,False,True,False,False,False,True,True,True,False
cell_1229,True,False,False,True,False,True,False,False,False,False,True
cell_1231,True,False,False,True,True,True,False,True,True,False,False
cell_1232,True,False,True,False,False,False,False,True,True,True,True
cell_1238,True,False,False,True,False,True,True,False,False,True,False
cell_1247,True,True,False,False,False,False,True,True,True,True,False
cell_1248,True,False,False,False,True,True,True,False,False,False,False
cell_1253,True,False,False,False,True,False,True,True,True,False,True
cell_1258,True,True,False,False,False,False,True,True,False,False,True
cell_1263,False,True,True,False,True,False,False,True,True,True,True
cell_1267,True,False,False,True,False,True,True,True,True,False,True
cell_1271,True,True,False,True,True,True,False,True,True,True,False
cell_1279,True,False,False,False,True,True,True,True,True,False,True
cell_1291,True,False,False,True,True,True,False,False,False,False,False
