SourceGENES,TargetGENES,Interaction,Edges
x_g2,x_g6,11.6324772131078,repression
x_g2,x_g7,11.2811214642026,repression
x_g2,x_g8,6.5476934646434,repression
x_g2,x_g3,4.18214766138999,repression
x_g5,x_g7,1.76336043196683,repression
x_g2,x_g1,1.35590834764815,repression
x_g2,x_g4,1.16655728426778,repression
x_g2,x_g2,1,activation
x_g5,x_g6,0.958228568856802,repression
x_g5,x_g8,0.934387042986423,repression
x_g5,x_g3,0.318468455137157,repression
x_g5,x_g4,0.042997546095132,repression
x_g3,x_g7,1.15863240351193e-34,repression
x_g1,x_g7,1.00310232947211e-34,activation
x_g3,x_g6,9.82240310599529e-35,repression
x_g1,x_g6,6.89489248554323e-35,repression
x_g1,x_g8,6.16700666860974e-35,repression
x_g3,x_g3,3.81215588262888e-35,activation
x_g4,x_g7,3.688185833226e-35,activation
x_g6,x_g7,3.32613689011135e-35,activation
x_g8,x_g7,3.06863066576141e-35,activation
x_g1,x_g2,3.00428175142537e-35,repression
x_g4,x_g4,2.9458595022696e-35,activation
x_g3,x_g2,2.74621411923509e-35,repression
x_g3,x_g1,2.48603611215399e-35,repression
x_g6,x_g6,2.37654096332612e-35,activation
x_g3,x_g4,2.07454999861138e-35,activation
x_g7,x_g6,1.88272475837622e-35,activation
x_g1,x_g3,1.85359109299691e-35,repression
x_g1,x_g4,1.81610146473518e-35,activation
x_g8,x_g6,1.60532401848292e-35,activation
x_g7,x_g4,1.57691893092501e-35,activation
x_g6,x_g3,1.45151118031426e-35,repression
x_g1,x_g1,5.3668655799896e-36,activation
x_g4,x_g8,8.37449578558946e-37,activation
x_g6,x_g4,8.23785862958387e-37,repression
x_g6,x_g8,3.50781426638742e-37,activation
x_g2,x_g5,0,no regulation
x_g3,x_g5,0,no regulation
x_g3,x_g8,0,no regulation
x_g4,x_g2,0,no regulation
x_g4,x_g3,0,no regulation
x_g4,x_g1,0,no regulation
x_g4,x_g5,0,no regulation
x_g4,x_g6,0,no regulation
x_g1,x_g5,0,no regulation
x_g5,x_g2,0,no regulation
x_g5,x_g1,0,no regulation
x_g5,x_g5,0,no regulation
x_g6,x_g2,0,no regulation
x_g6,x_g1,0,no regulation
x_g6,x_g5,0,no regulation
x_g7,x_g2,0,no regulation
x_g7,x_g3,0,no regulation
x_g7,x_g1,0,no regulation
x_g7,x_g5,0,no regulation
x_g7,x_g7,0,no regulation
x_g7,x_g8,0,no regulation
x_g8,x_g2,0,no regulation
x_g8,x_g3,0,no regulation
x_g8,x_g4,0,no regulation
x_g8,x_g1,0,no regulation
x_g8,x_g5,0,no regulation
x_g8,x_g8,0,no regulation
