Gene,StateA,StateB
g1,cell_0,cell_34
g6,cell_0,cell_48
g5,cell_0,cell_113
g3,cell_0,cell_186
g4,cell_0,cell_910
g7,cell_0,cell_923
g6,cell_2,cell_51
g4,cell_2,cell_78
g7,cell_2,cell_308
g3,cell_2,cell_316
g1,cell_2,cell_516
g2,cell_2,cell_1211
g8,cell_2,cell_1221
g5,cell_2,cell_1262
g3,cell_5,cell_260
g1,cell_5,cell_389
g7,cell_5,cell_678
g2,cell_22,cell_785
g1,cell_22,cell_840
g5,cell_22,cell_1216
g4,cell_22,cell_1964
g6,cell_23,cell_26
g1,cell_23,cell_50
g7,cell_23,cell_169
g4,cell_23,cell_609
g5,cell_23,cell_934
g3,cell_24,cell_139
g6,cell_24,cell_147
g4,cell_24,cell_241
g5,cell_24,cell_389
g7,cell_24,cell_733
g8,cell_24,cell_1533
g6,cell_26,cell_23
g5,cell_26,cell_33
g1,cell_26,cell_285
g4,cell_26,cell_298
g7,cell_26,cell_336
g8,cell_28,cell_112
g3,cell_28,cell_122
g4,cell_28,cell_485
g1,cell_28,cell_931
g5,cell_33,cell_26
g7,cell_33,cell_133
g1,cell_33,cell_524
g6,cell_33,cell_934
g4,cell_33,cell_1822
g1,cell_34,cell_0
g5,cell_34,cell_52
g7,cell_34,cell_78
g6,cell_34,cell_139
g3,cell_34,cell_147
g4,cell_34,cell_308
g8,cell_34,cell_587
g2,cell_34,cell_679
g5,cell_37,cell_61
g4,cell_37,cell_285
g1,cell_37,cell_298
g2,cell_37,cell_1057
g6,cell_37,cell_1269
g7,cell_37,cell_1433
g6,cell_48,cell_0
g7,cell_48,cell_67
g1,cell_48,cell_139
g4,cell_48,cell_155
g5,cell_48,cell_260
g2,cell_48,cell_904
g8,cell_48,cell_937
g1,cell_50,cell_23
g5,cell_50,cell_111
g6,cell_50,cell_285
g7,cell_50,cell_801
g4,cell_50,cell_1269
g6,cell_51,cell_2
g4,cell_51,cell_112
g7,cell_51,cell_173
g1,cell_51,cell_204
g8,cell_51,cell_485
g2,cell_51,cell_659
g3,cell_51,cell_1875
g5,cell_52,cell_34
g4,cell_52,cell_88
g1,cell_52,cell_113
g6,cell_52,cell_168
g2,cell_52,cell_712
g5,cell_61,cell_37
g7,cell_61,cell_69
g4,cell_61,cell_524
g6,cell_61,cell_921
g2,cell_61,cell_961
g1,cell_61,cell_1822
g7,cell_67,cell_48
g1,cell_67,cell_112
g4,cell_67,cell_204
g5,cell_67,cell_668
g2,cell_67,cell_905
g6,cell_67,cell_923
g8,cell_67,cell_931
g3,cell_67,cell_1591
g7,cell_69,cell_61
g4,cell_69,cell_300
g6,cell_69,cell_492
g5,cell_69,cell_1433
g1,cell_69,cell_1468
g8,cell_69,cell_1752
g4,cell_78,cell_2
g7,cell_78,cell_34
g6,cell_78,cell_112
g2,cell_78,cell_454
g1,cell_78,cell_923
g3,cell_78,cell_1176
g2,cell_82,cell_241
g6,cell_82,cell_263
g7,cell_82,cell_304
g3,cell_82,cell_1216
g8,cell_82,cell_1283
g4,cell_88,cell_52
g5,cell_88,cell_308
g6,cell_88,cell_785
g7,cell_88,cell_1262
g3,cell_91,cell_155
g1,cell_91,cell_241
g8,cell_91,cell_1197
g7,cell_110,cell_298
g4,cell_110,cell_336
g6,cell_110,cell_342
g1,cell_110,cell_1433
g5,cell_110,cell_1468
g5,cell_111,cell_50
g8,cell_111,cell_304
g6,cell_111,cell_524
g2,cell_111,cell_543
g4,cell_111,cell_921
g1,cell_111,cell_934
g7,cell_111,cell_1283
g8,cell_112,cell_28
g4,cell_112,cell_51
g1,cell_112,cell_67
g6,cell_112,cell_78
g7,cell_112,cell_139
g3,cell_112,cell_733
g5,cell_112,cell_1402
g2,cell_112,cell_1423
g5,cell_113,cell_0
g1,cell_113,cell_52
g6,cell_113,cell_260
g7,cell_113,cell_438
g3,cell_122,cell_28
g4,cell_122,cell_543
g8,cell_122,cell_733
g2,cell_122,cell_921
g6,cell_122,cell_961
g7,cell_122,cell_1533
g2,cell_129,cell_260
g4,cell_129,cell_840
g5,cell_129,cell_904
g1,cell_129,cell_1964
g7,cell_133,cell_33
g1,cell_133,cell_300
g5,cell_133,cell_336
g2,cell_133,cell_977
g6,cell_133,cell_980
