,g2,g3,g4,g1,g5,g6,g7,g8
cell_0,False,False,True,True,True,False,True,True
cell_2,False,False,False,False,True,False,False,True
cell_5,False,True,True,True,False,True,True,True
cell_22,True,False,False,False,False,True,True,True
cell_23,True,True,False,True,False,True,False,False
cell_24,False,True,True,False,True,True,True,True
cell_26,True,True,False,True,False,False,False,False
cell_28,False,False,True,False,True,True,False,False
cell_33,True,True,False,True,True,False,False,False
cell_34,False,False,True,False,True,False,True,True
cell_37,True,True,True,False,False,False,False,False
cell_48,False,False,True,True,True,True,True,True
cell_50,True,True,False,False,False,True,False,False
cell_51,False,False,False,False,True,True,False,True
cell_52,False,False,True,False,False,False,True,True
cell_61,True,True,True,False,True,False,False,False
cell_67,False,False,True,True,True,True,False,True
cell_69,True,True,True,False,True,False,True,False
cell_78,False,False,True,False,True,False,False,True
cell_82,True,True,False,False,True,True,True,True
cell_88,False,False,False,False,False,False,True,True
cell_91,False,True,False,True,True,True,True,True
cell_110,True,True,True,True,False,False,True,False
cell_111,True,True,False,False,True,True,False,False
cell_112,False,False,True,False,True,True,False,True
cell_113,False,False,True,True,False,False,True,True
cell_122,False,True,True,False,True,True,False,False
cell_129,True,False,True,True,False,True,True,True
cell_133,True,True,False,True,True,False,True,False
cell_139,False,False,True,False,True,True,True,True
cell_147,False,True,True,False,True,False,True,True
cell_155,False,False,False,True,True,True,True,True
cell_168,False,False,True,False,False,True,True,True
cell_169,True,True,False,True,False,True,True,False
cell_173,False,False,False,False,True,True,True,True
cell_186,False,True,True,True,True,False,True,True
cell_204,False,False,False,True,True,True,False,True
cell_238,False,False,False,False,True,False,True,False
cell_241,False,True,False,False,True,True,True,True
cell_244,False,True,False,False,True,False,True,True
cell_260,False,False,True,True,False,True,True,True
cell_263,True,True,False,False,True,False,True,True
cell_265,True,True,False,False,False,False,False,True
cell_285,True,True,False,False,False,False,False,False
cell_298,True,True,True,True,False,False,False,False
cell_300,True,True,False,False,True,False,True,False
cell_304,True,True,False,False,True,True,False,True
cell_308,False,False,False,False,True,False,True,True
cell_309,False,True,True,False,False,False,False,True
cell_316,False,True,False,False,True,False,False,True
cell_336,True,True,False,True,False,False,True,False
cell_342,True,True,True,True,False,True,True,False
cell_345,False,True,False,False,False,True,True,False
cell_389,False,True,True,False,False,True,True,True
cell_438,False,False,True,True,False,False,False,True
cell_454,True,False,True,False,True,False,False,True
cell_485,False,False,False,False,True,True,False,False
cell_488,False,True,False,False,True,False,False,False
cell_492,True,True,True,False,True,True,True,False
cell_516,False,False,False,True,True,False,False,True
cell_521,True,False,True,False,False,True,False,True
cell_524,True,True,False,False,True,False,False,False
cell_543,False,True,False,False,True,True,False,False
cell_572,True,False,False,False,True,False,True,True
cell_587,False,False,True,False,True,False,True,False
cell_609,True,True,True,True,False,True,False,False
cell_659,True,False,False,False,True,True,False,True
cell_668,False,False,True,True,False,True,False,True
cell_678,False,True,True,True,False,True,False,True
cell_679,True,False,True,False,True,False,True,True
cell_712,True,False,True,False,False,False,True,True
cell_733,False,True,True,False,True,True,False,True
cell_749,True,True,True,False,False,True,True,False
cell_785,False,False,False,False,False,True,True,True
cell_801,True,True,False,False,False,True,True,False
cell_840,True,False,False,True,False,True,True,True
cell_904,True,False,True,True,True,True,True,True
cell_905,True,False,True,True,True,True,False,True
cell_909,True,True,True,False,False,True,False,True
cell_910,False,False,False,True,True,False,True,True
cell_921,True,True,True,False,True,True,False,False
cell_923,False,False,True,True,True,False,False,True
cell_931,False,False,True,True,True,True,False,False
cell_934,True,True,False,True,True,True,False,False
cell_937,False,False,True,True,True,True,True,False
cell_961,False,True,True,False,True,False,False,False
cell_977,False,True,False,True,True,False,True,False
cell_980,True,True,False,True,True,True,True,False
cell_1057,False,True,True,False,False,False,False,False
cell_1176,False,True,True,False,True,False,False,True
cell_1194,False,True,False,False,True,True,True,False
cell_1197,False,True,False,True,True,True,True,False
cell_1211,True,False,False,False,True,False,False,True
cell_1216,True,False,False,False,True,True,True,True
cell_1221,False,False,False,False,True,False,False,False
cell_1238,False,False,True,True,True,False,False,False
cell_1262,False,False,False,False,False,False,False,True
cell_1269,True,True,True,False,False,True,False,False
cell_1283,True,True,False,False,True,True,True,False
cell_1290,True,False,False,True,True,True,True,True
cell_1310,False,True,True,True,True,True,True,False
cell_1326,True,True,False,False,False,False,True,False
cell_1338,True,False,False,True,True,False,True,True
cell_1402,False,False,True,False,False,True,False,True
cell_1423,True,False,True,False,True,True,False,True
cell_1433,True,True,True,False,False,False,True,False
cell_1462,True,True,False,True,False,True,True,True
cell_1468,True,True,True,True,True,False,True,False
cell_1533,False,True,True,False,True,True,True,False
cell_1591,False,True,True,True,True,True,False,True
cell_1752,True,True,True,False,True,False,True,True
cell_1756,True,True,True,True,True,True,True,False
cell_1812,False,False,False,True,False,True,True,True
cell_1822,True,True,True,True,True,False,False,False
cell_1875,False,True,False,False,True,True,False,True
cell_1890,True,False,True,True,True,False,False,True
cell_1964,True,False,True,False,False,True,True,True
cell_1968,True,True,True,True,True,True,False,False
cell_1981,True,True,True,False,False,True,True,True
cell_1988,False,False,False,False,True,True,True,False
