Gene,StateA,StateB
g4,cell_4,cell_484
g2,cell_4,cell_1640
g8,cell_6,cell_1186
g10,cell_6,cell_1307
g5,cell_9,cell_181
g3,cell_9,cell_385
g7,cell_9,cell_404
g4,cell_9,cell_568
g6,cell_9,cell_594
g10,cell_9,cell_1224
g9,cell_15,cell_336
g7,cell_15,cell_352
g3,cell_15,cell_768
g4,cell_15,cell_1068
g1,cell_15,cell_1136
g6,cell_15,cell_1375
g1,cell_19,cell_144
g6,cell_19,cell_1031
g7,cell_19,cell_1704
g7,cell_21,cell_366
g5,cell_21,cell_565
g9,cell_21,cell_834
g6,cell_21,cell_1573
g4,cell_22,cell_1141
g1,cell_22,cell_1497
g8,cell_23,cell_93
g1,cell_23,cell_123
g6,cell_23,cell_183
g7,cell_23,cell_251
g4,cell_23,cell_316
g9,cell_23,cell_818
g5,cell_23,cell_1740
g11,cell_24,cell_618
g9,cell_25,cell_313
g2,cell_25,cell_844
g5,cell_25,cell_1140
g6,cell_25,cell_1494
g7,cell_27,cell_257
g5,cell_27,cell_328
g10,cell_27,cell_408
g4,cell_27,cell_611
g1,cell_27,cell_883
g8,cell_27,cell_1687
g9,cell_27,cell_1794
g7,cell_28,cell_331
g9,cell_28,cell_369
g5,cell_28,cell_961
g10,cell_28,cell_1138
g4,cell_36,cell_49
g7,cell_36,cell_343
g5,cell_36,cell_959
g10,cell_36,cell_1680
g6,cell_36,cell_1792
g4,cell_39,cell_41
g6,cell_39,cell_193
g7,cell_39,cell_572
g8,cell_39,cell_883
g5,cell_39,cell_1686
g1,cell_39,cell_1687
g4,cell_41,cell_39
g6,cell_41,cell_181
g10,cell_41,cell_443
g8,cell_41,cell_550
g5,cell_41,cell_594
g5,cell_48,cell_351
g9,cell_48,cell_618
g1,cell_48,cell_715
g6,cell_48,cell_1035
g3,cell_48,cell_1894
g4,cell_49,cell_36
g5,cell_49,cell_474
g6,cell_49,cell_854
g7,cell_53,cell_484
g6,cell_53,cell_791
g2,cell_53,cell_889
g5,cell_53,cell_1998
g9,cell_56,cell_123
g5,cell_56,cell_469
g1,cell_56,cell_818
g8,cell_56,cell_1504
g2,cell_58,cell_180
g10,cell_58,cell_1960
g9,cell_59,cell_843
g1,cell_59,cell_844
g6,cell_59,cell_1276
g11,cell_59,cell_1542
g5,cell_59,cell_1678
g11,cell_60,cell_207
g4,cell_60,cell_480
g2,cell_60,cell_922
g5,cell_60,cell_1084
g7,cell_60,cell_1127
g9,cell_60,cell_1525
g9,cell_66,cell_1034
g6,cell_66,cell_1162
g5,cell_66,cell_1177
g3,cell_66,cell_1328
g8,cell_71,cell_83
g10,cell_71,cell_442
g7,cell_71,cell_491
g9,cell_71,cell_600
g6,cell_71,cell_611
g1,cell_71,cell_1640
g5,cell_71,cell_1802
g2,cell_72,cell_79
g8,cell_72,cell_945
g9,cell_72,cell_958
g1,cell_72,cell_1226
g7,cell_72,cell_1296
g10,cell_73,cell_147
g11,cell_73,cell_418
g5,cell_73,cell_444
g3,cell_73,cell_491
g4,cell_73,cell_1910
g1,cell_78,cell_214
g9,cell_78,cell_334
g4,cell_78,cell_492
g6,cell_78,cell_712
g11,cell_78,cell_1662
g2,cell_79,cell_72
g8,cell_79,cell_313
g5,cell_79,cell_866
g10,cell_79,cell_1034
g7,cell_79,cell_1286
g8,cell_83,cell_71
g1,cell_83,cell_181
g4,cell_83,cell_559
g11,cell_87,cell_402
g4,cell_87,cell_906
g9,cell_87,cell_1305
g8,cell_93,cell_23
g5,cell_93,cell_100
