,x_g2,x_g3,x_g4,x_g1,x_g5,x_g6,x_g7,x_g8
4,-0.5404721,-0.33844215,0.099850774,-1.0948756,0.8258894,1.1789178,1.3273036,0.18522607
7,0.21829818,0.8436798,-0.7117157,-1.3605716,-1.3881102,1.0734502,1.2851032,0.11695083
8,-0.21923159,-1.7268655,0.20920153,-0.76292664,-0.255892,1.2644387,1.2939663,0.16963123
9,0.8711975,1.0080508,-1.1697197,1.0389378,-1.097953,1.1104684,-0.45703703,-0.4151787
10,-1.3896636,-0.4334253,-0.640174,-0.49178445,-0.49917677,1.1326302,1.3722686,0.28384352
12,0.06638546,-0.73325384,-0.5026185,-1.6213207,-0.17931049,1.2881896,1.1840613,0.30432454
14,0.88805676,0.97770244,-0.014513114,-0.9330251,-0.24732262,1.0981742,1.1438478,-0.43672687
15,0.9021907,1.0471305,-0.29335794,-0.13662335,0.15826584,1.028303,0.93228173,-0.06767191
16,-1.3132538,-0.22193505,-0.39758715,-0.09870854,-1.0391368,1.080509,1.3826799,0.3088708
17,-1.8071828,-1.666418,0.020121513,-0.5898414,-1.4494957,1.2336695,1.1820358,0.49183047
18,-1.1981419,-2.0283515,-0.20578314,-1.0161641,-0.61626786,1.1962454,1.2588674,0.44441864
20,-0.69358,-0.8027003,-0.2585056,-1.5825307,-1.4617996,1.2636849,1.2876563,0.23162909
21,-1.158307,-1.0189646,-0.7464896,-0.95897233,-1.1529963,1.1821153,1.377895,0.19625832
25,0.54910845,-0.16345277,-1.4633235,-0.63897735,0.48361152,1.321223,0.6476142,0.4701815
27,0.9255131,1.0086182,-0.08391315,0.96233845,-0.29070646,1.0470867,-0.26851332,-0.20759404
30,-1.3945731,-1.8651745,-0.59643334,-0.74527436,-1.5180191,1.2001125,1.2864355,0.3896225
38,1.0072079,0.943593,-0.709574,-1.4011041,-0.038921885,1.0819335,0.8902314,-0.084137626
39,-1.6159432,-1.5627339,1.229061,-0.9453273,-0.21773817,1.1579875,1.3178794,0.2758191
40,-0.87864983,-0.4933947,-0.66795146,0.03252293,0.36926484,1.3406633,0.5783862,0.6095426
41,-0.329159,1.0294905,-0.2636115,-0.7312875,-0.5515572,1.0120989,1.2043965,0.22338364
