,pseudotime0
cell_1,0.021075573
cell_2,0.068059936
cell_3,0.1516158
cell_7,0.18679327
cell_11,0.021262312
cell_13,0.07528798
cell_26,0.179522
cell_31,0.13423258
cell_33,0.008875771
cell_34,0.10473526
cell_35,0.085962854
cell_42,0.21925333
cell_44,0.16335134
cell_45,0.1267458
cell_46,0.19024713
cell_47,0.21800333
cell_50,0.028761543
cell_52,0.07064405
cell_54,0.21829094
cell_57,0.04915255
cell_63,0.021870883
cell_65,0.021991368
cell_68,0.18918161
cell_69,0.16567913
cell_70,0.076987304
cell_82,0.0962383
cell_86,0.0024616253
cell_88,0.053124156
cell_89,0.18069255
cell_91,0.1626538
cell_92,0.1710189
cell_94,0.05073104
cell_99,0.050730314
cell_101,0.16966394
cell_102,0.029210566
cell_104,0.1629058
cell_107,0.11698209
cell_108,0.055906214
cell_111,0.040968638
cell_119,0.21135235
cell_126,0.045635287
cell_129,0.11168643
cell_131,0.10701257
cell_134,0.049154345
cell_135,0.061962288
cell_136,0.1916083
cell_138,0.21279533
cell_139,0.11400861
cell_141,0.022739053
cell_142,0.06882558
cell_143,0.03876941
cell_145,0.20164622
cell_146,0.15733735
cell_148,0.16549921
cell_149,0.035108488
cell_150,0.055549346
cell_153,0.023697875
cell_155,0.1274757
cell_158,0.06364755
cell_161,0.07313944
cell_163,0.17818357
cell_164,0.22713044
cell_165,0.05615442
cell_166,0.017246941
cell_168,0.13096608
cell_171,0.05701559
cell_173,0.13960432
cell_174,0.11826592
cell_176,0.18156807
cell_177,0.019936899
cell_179,0.21222419
cell_185,0.0082114125
cell_186,0.1851217
cell_187,0.053721536
cell_189,0.021436857
cell_190,0.01656214
cell_192,0.064972855
cell_200,0.023293901
cell_201,0.06338719
cell_202,0.12538472
cell_203,0.05049488
cell_209,0.012103713
cell_210,0.052345674
cell_213,0.1726689
cell_219,0.053523865
cell_221,0.035693344
cell_225,0.18152091
cell_226,0.0340561
cell_228,0.21897946
cell_229,0.08079377
cell_230,0.08409514
cell_234,0.04678411
cell_235,0.07562261
cell_237,0.034788907
cell_239,0.015089606
cell_244,0.17049594
cell_247,0.06442687
cell_249,0.20385543
cell_255,0.11656492
cell_256,0.104963854
cell_258,0.016796043
cell_259,0.027810616
