,x_g1,x_g2,x_g3,x_g4,x_g5,x_g6,x_g7,x_g8,x_g9,x_g10,x_g11
4,-1.6375066,-1.1039679,-2.3111525,-1.3378664,-0.22869624,0.08368893,-0.9772207,0.8412133,1.0260981,1.2444187,1.4813185
6,-1.9728163,-0.094678134,0.3200653,-1.3193809,0.14347793,-0.0085532125,0.03788593,0.9560712,0.91029066,1.2147332,0.8132188
9,-1.3909495,-2.81274,-1.4091718,-0.9944622,-0.56483954,-0.23408598,-0.36896986,0.74230975,1.0826803,1.308687,1.4230918
15,-1.4865776,-2.664944,-1.3336844,-0.030827552,0.7094662,1.0703871,-0.35576174,0.9034301,0.856524,1.2104325,1.5557414
19,-1.6482441,-1.6831849,0.59187967,-0.38990712,-0.4709266,0.37513027,0.88263637,0.8363272,0.73590493,1.0916281,1.4385974
21,0.011001363,-0.028938487,0.54319805,-0.853888,-0.39790204,0.4412046,-0.9822246,0.7567593,1.0458566,1.0467294,0.74353945
22,-1.9474363,-1.1199489,0.29259446,-0.33108306,0.066596195,-0.54943997,0.8750298,0.8105227,0.9396306,1.161281,1.4278291
23,-0.7473699,-2.5373442,-0.9528593,-0.16932496,-0.9068672,-0.0042432034,-0.25219604,0.76702875,1.0512536,1.2840419,1.4469482
24,-1.0465039,-1.4213408,-1.2967812,0.8972697,-0.9476653,-0.9521872,0.30512607,0.9124302,1.0549582,1.2828743,1.233671
25,-1.3273208,-1.6246078,0.6831537,-0.65085393,0.14029782,-0.7386631,-0.9162763,0.6950285,0.8869783,1.1435112,1.3429636
27,-0.9500102,-2.3812356,-0.5660786,-0.23161341,0.3557567,-0.38639545,-0.6084581,0.8633443,1.0064813,1.1877457,1.4917295
28,-1.8475062,-2.5387514,0.042621642,0.8263845,-0.8177491,0.55104923,0.27140132,0.7383231,1.0181396,1.1766956,1.4849347
30,-0.6220305,-1.1752456,0.6247375,-0.9869472,-1.6489716,-0.0038519017,-0.8967377,0.702644,0.9871037,1.1020992,1.297094
36,-1.5868559,-1.4383376,-1.3792913,-0.53923243,-0.79974496,-0.63120514,-1.114682,0.89204544,1.0171679,1.1066071,1.5619733
37,-1.291165,-2.1787078,0.17640173,-0.16830511,0.16136707,0.2880941,-1.0779116,0.96318156,0.94919443,1.1700857,1.2591004
39,-1.9453055,-2.050684,-2.8844364,0.29136768,0.5224232,-0.6059271,-0.392952,0.78114665,1.035367,1.2275324,1.5402551
41,-1.8416703,-1.3838885,-2.030965,-0.46249837,0.16589765,-0.72059834,-0.75583863,0.77198243,0.99187976,1.3232241,1.4864566
48,-0.59395725,-2.363418,-3.113109,0.3376251,-0.3788848,-0.7049611,0.11792966,0.89101005,0.92954576,1.2348263,1.519953
49,-1.91176,-2.3897455,-1.3526233,0.55704683,-0.44111326,-1.054355,-0.98969537,0.924923,0.9990952,1.1778387,1.4843578
53,-2.3301616,-1.2089437,-1.8735167,-0.05066043,0.3665996,-0.28257775,0.085497394,0.86117876,1.0189867,1.1936303,1.5121119
56,-1.3688726,-2.620985,-2.0036478,0.4377263,-1.1803437,-0.22659896,0.7596204,0.8081869,0.92599034,1.3510501,1.4622774
58,-1.3576651,-0.9608761,-2.7014892,-1.4508895,-0.23215668,0.074788675,-0.13028064,0.94971764,0.97000897,1.1743966,1.4818652
59,-1.4649646,0.3442333,0.5350214,-0.38408792,-0.22597182,-0.3984104,-1.4870112,0.6679844,0.7977958,1.0408323,1.3422403
60,-0.8909164,0.08592335,0.43404707,0.21198592,-0.67875606,-0.36739653,0.41566893,0.76467216,0.9073833,1.0751319,1.3254226
66,-1.1277794,-1.8683368,-0.07528627,-0.85745376,0.6442904,-0.83187354,-0.54724085,0.87527895,0.93884796,1.219831,1.4377058
67,-1.5173988,0.04173431,0.6357451,-1.0879802,0.39127228,0.6167863,0.5594054,0.83823365,0.80593807,1.2281454,0.37729073
71,-1.0638514,-2.046142,-2.3613021,-1.5996528,-0.10618217,0.72376895,-1.2085227,0.86697936,0.9646225,1.227182,1.528946
72,0.1346064,-1.1463349,0.4715816,-0.8170338,0.35398063,-0.9074981,-1.7106113,0.8338185,0.9689308,0.89532673,1.3467125
73,-0.8786514,-1.4711092,0.02166698,-0.91811514,-0.25866312,0.6748173,0.37125516,0.81926334,0.99310964,1.2286855,1.3844869
78,-1.7559409,0.48735455,0.46131802,-0.2089607,-0.8582015,-0.5701461,0.24251963,0.7960569,0.9928161,0.9984856,0.06887219
79,-0.6605614,-2.0876527,0.38986272,-1.6700308,-0.31593087,-0.91852015,-0.48602545,0.82349706,1.0190874,1.0314002,1.4066416
