,g2,g3,g4,g1,g5,g6,g7,g8
cell_4,False,False,True,False,True,True,True,True
cell_7,True,True,False,False,False,True,True,False
cell_8,True,False,True,False,True,True,True,False
cell_9,True,True,False,True,False,True,False,False
cell_10,False,False,False,True,True,True,True,True
cell_12,True,False,False,False,True,True,True,True
cell_14,True,True,True,False,True,True,True,False
cell_15,True,True,True,True,True,False,False,False
cell_16,False,False,False,True,False,True,True,True
cell_17,False,False,True,False,False,True,True,True
cell_21,False,False,False,False,False,True,True,True
cell_25,True,False,False,False,True,True,False,True
cell_27,True,True,True,True,True,True,False,False
cell_38,True,True,False,False,True,True,False,False
cell_40,False,False,False,True,True,True,False,True
cell_41,True,True,True,False,False,False,True,True
cell_42,False,True,False,True,False,True,True,True
cell_56,False,False,False,False,False,True,True,False
cell_60,True,True,False,True,False,False,False,False
cell_62,False,False,False,False,True,True,True,True
cell_65,True,False,True,True,True,True,True,True
cell_70,False,False,True,True,True,False,True,True
cell_72,False,True,True,False,True,True,True,False
cell_79,True,True,True,False,False,True,False,False
cell_83,True,True,False,False,False,False,True,False
cell_86,False,False,True,True,False,True,True,True
cell_89,True,True,True,True,True,True,True,False
cell_94,False,True,False,False,False,True,True,False
cell_97,True,False,True,True,False,False,True,True
cell_99,False,True,True,True,False,True,True,True
cell_104,False,True,False,False,False,True,True,True
cell_105,True,False,False,False,True,True,True,False
cell_107,True,True,False,True,True,False,False,False
cell_115,False,False,True,True,True,True,True,True
cell_116,True,False,True,False,False,True,True,True
cell_117,True,True,False,True,False,True,True,False
cell_118,False,True,False,False,True,True,True,False
cell_120,False,False,True,False,True,False,True,True
cell_126,True,True,True,False,True,False,True,False
cell_130,False,True,True,True,False,False,True,True
cell_141,True,True,True,False,False,True,True,False
cell_148,True,True,True,True,False,True,False,False
cell_157,True,False,False,True,True,True,False,True
cell_163,True,True,True,True,True,False,True,False
cell_165,False,True,True,False,False,True,True,False
cell_170,False,False,True,False,False,False,True,True
cell_174,False,True,True,False,True,True,True,True
cell_191,True,True,True,True,True,False,True,True
cell_192,True,True,False,False,True,True,True,False
cell_242,False,False,False,True,True,True,True,False
cell_252,True,True,False,True,True,False,True,False
cell_255,False,False,False,False,True,True,False,True
cell_257,False,True,True,False,False,False,True,True
cell_261,True,True,False,True,True,True,False,False
cell_288,False,True,False,True,True,True,True,True
cell_294,False,False,False,False,True,True,True,False
cell_314,True,False,False,False,True,False,True,True
cell_325,True,True,True,True,False,True,True,False
cell_331,False,True,True,True,True,True,False,True
cell_335,True,True,False,False,True,False,False,True
cell_346,False,True,False,False,True,True,True,True
cell_348,True,False,False,False,False,True,True,True
cell_354,True,True,False,True,True,False,False,True
cell_372,True,True,True,True,False,False,False,False
cell_391,True,True,True,False,False,False,True,False
cell_411,False,False,True,False,True,True,True,False
cell_424,False,True,True,True,False,True,True,False
cell_452,False,False,True,False,False,True,True,False
cell_462,True,False,False,True,True,True,True,True
cell_474,True,True,True,False,False,True,True,True
cell_511,False,True,False,True,True,True,True,False
cell_515,True,False,True,True,False,True,True,True
cell_553,True,False,False,False,False,True,True,False
cell_577,True,False,True,False,True,True,True,True
cell_621,True,True,False,False,True,False,True,False
cell_634,True,True,True,True,True,True,False,True
cell_649,True,True,False,True,True,False,True,True
cell_663,True,True,False,True,True,True,True,False
cell_683,False,False,True,True,True,True,True,False
cell_685,True,True,False,True,False,False,True,False
cell_714,True,True,True,True,False,False,False,True
cell_719,False,True,False,True,False,True,True,False
cell_739,True,False,False,True,False,True,True,False
cell_770,True,True,True,False,True,True,True,True
cell_783,True,True,True,False,True,False,True,True
cell_793,False,False,True,True,False,False,True,True
cell_802,False,True,False,False,True,False,True,True
cell_824,True,False,False,True,True,True,False,False
cell_827,True,False,True,False,False,False,False,True
cell_867,False,False,False,True,True,False,False,True
cell_870,False,False,True,True,True,False,False,True
cell_873,True,True,False,False,False,True,True,True
cell_876,True,True,True,False,False,False,False,True
cell_929,False,False,False,False,True,False,True,True
cell_962,False,False,False,True,False,False,True,True
cell_973,True,True,False,False,True,False,True,True
cell_979,True,True,True,True,True,True,True,True
cell_1091,True,False,True,True,False,True,True,False
cell_1095,False,True,True,True,True,False,True,True
cell_1118,False,True,True,True,True,True,True,True
cell_1140,True,True,True,True,True,False,False,True
cell_1166,False,True,False,False,False,False,True,False
cell_1198,True,True,True,False,True,True,False,False
cell_1223,True,True,True,True,False,False,True,False
cell_1303,False,False,False,True,True,False,True,True
cell_1317,False,False,True,True,True,True,False,True
cell_1323,False,True,True,False,True,False,True,True
cell_1329,True,True,False,False,False,True,False,False
cell_1336,True,False,False,True,True,True,True,False
cell_1370,True,False,False,True,False,True,True,True
cell_1390,True,True,True,False,True,False,False,True
cell_1391,True,True,False,False,True,True,True,True
cell_1396,False,False,False,True,False,True,True,False
cell_1446,False,True,True,False,False,True,True,True
cell_1455,False,False,True,True,False,True,True,False
cell_1464,False,False,False,False,True,False,False,True
cell_1634,False,True,False,False,False,False,True,True
cell_1683,True,True,False,False,False,False,False,True
cell_1689,True,False,True,True,True,True,True,False
cell_1725,True,True,False,False,False,False,True,True
cell_1755,False,True,True,True,True,False,False,True
cell_1758,True,True,False,True,True,True,False,True
cell_1776,True,True,True,True,False,True,True,True
cell_1860,True,True,False,True,False,False,False,True
cell_1903,False,True,True,False,True,True,False,True
cell_1916,True,False,True,False,False,True,True,False
cell_1972,False,False,True,True,False,True,False,True
