Gene,StateA,StateB
g5,cell_4,cell_17
g4,cell_4,cell_62
g1,cell_4,cell_115
g6,cell_4,cell_120
g3,cell_4,cell_174
g8,cell_4,cell_411
g2,cell_4,cell_577
g6,cell_7,cell_83
g2,cell_7,cell_94
g1,cell_7,cell_117
g4,cell_7,cell_141
g5,cell_7,cell_192
g3,cell_7,cell_553
g8,cell_7,cell_873
g7,cell_7,cell_1329
g3,cell_8,cell_14
g4,cell_8,cell_105
g2,cell_8,cell_411
g8,cell_8,cell_577
g1,cell_8,cell_1689
g5,cell_8,cell_1916
g6,cell_9,cell_60
g7,cell_9,cell_117
g4,cell_9,cell_148
g5,cell_9,cell_261
g1,cell_9,cell_1329
g5,cell_10,cell_16
g7,cell_10,cell_40
g1,cell_10,cell_62
g4,cell_10,cell_115
g8,cell_10,cell_242
g3,cell_10,cell_288
g2,cell_10,cell_462
g6,cell_10,cell_1303
g7,cell_12,cell_25
g2,cell_12,cell_62
g8,cell_12,cell_105
g6,cell_12,cell_314
g5,cell_12,cell_348
g1,cell_12,cell_462
g4,cell_12,cell_577
g3,cell_12,cell_1391
g3,cell_14,cell_8
g2,cell_14,cell_72
g1,cell_14,cell_89
g6,cell_14,cell_126
g5,cell_14,cell_141
g4,cell_14,cell_192
g8,cell_14,cell_770
g7,cell_14,cell_1198
g6,cell_15,cell_27
g4,cell_15,cell_107
g7,cell_15,cell_163
g5,cell_15,cell_372
g8,cell_15,cell_1140
g5,cell_16,cell_10
g1,cell_16,cell_21
g3,cell_16,cell_42
g4,cell_16,cell_86
g6,cell_16,cell_962
g2,cell_16,cell_1370
g8,cell_16,cell_1396
g5,cell_17,cell_4
g4,cell_17,cell_21
g1,cell_17,cell_86
g2,cell_17,cell_116
g6,cell_17,cell_170
g8,cell_17,cell_452
g3,cell_17,cell_1446
g1,cell_21,cell_16
g4,cell_21,cell_17
g8,cell_21,cell_56
g5,cell_21,cell_62
g3,cell_21,cell_104
g2,cell_21,cell_348
g7,cell_25,cell_12
g1,cell_25,cell_157
g2,cell_25,cell_255
g6,cell_27,cell_15
g7,cell_27,cell_89
g5,cell_27,cell_148
g4,cell_27,cell_261
g8,cell_27,cell_634
g1,cell_27,cell_1198
g7,cell_38,cell_192
g1,cell_38,cell_261
g4,cell_38,cell_1198
g5,cell_38,cell_1329
g7,cell_40,cell_10
g2,cell_40,cell_157
g1,cell_40,cell_255
g6,cell_40,cell_867
g4,cell_40,cell_1317
g2,cell_41,cell_257
g8,cell_41,cell_391
g6,cell_41,cell_474
g5,cell_41,cell_783
g7,cell_41,cell_876
g4,cell_41,cell_1725
g3,cell_42,cell_16
g4,cell_42,cell_99
g1,cell_42,cell_104
g5,cell_42,cell_288
g8,cell_42,cell_719
g8,cell_56,cell_21
g3,cell_56,cell_94
g5,cell_56,cell_294
g4,cell_56,cell_452
g2,cell_56,cell_553
g1,cell_56,cell_1396
g6,cell_60,cell_9
g5,cell_60,cell_107
g4,cell_60,cell_372
g7,cell_60,cell_685
g8,cell_60,cell_1860
g4,cell_62,cell_4
g1,cell_62,cell_10
g2,cell_62,cell_12
g5,cell_62,cell_21
g7,cell_62,cell_255
g8,cell_62,cell_294
g3,cell_62,cell_346
g6,cell_62,cell_929
g2,cell_65,cell_115
g4,cell_65,cell_462
g5,cell_65,cell_515
g1,cell_65,cell_577
g3,cell_65,cell_979
g8,cell_65,cell_1689
g6,cell_70,cell_115
g1,cell_70,cell_120
g5,cell_70,cell_793
g7,cell_70,cell_870
g3,cell_70,cell_1095
g4,cell_70,cell_1303
g2,cell_72,cell_14
g4,cell_72,cell_118
g5,cell_72,cell_165
g8,cell_72,cell_174
g3,cell_72,cell_411
g7,cell_79,cell_141
g1,cell_79,cell_148
g5,cell_79,cell_1198
g4,cell_79,cell_1329
g6,cell_83,cell_7
g4,cell_83,cell_391
g5,cell_83,cell_621
g1,cell_83,cell_685
g2,cell_83,cell_1166
g8,cell_83,cell_1725
g4,cell_86,cell_16
g1,cell_86,cell_17
g3,cell_86,cell_99
g5,cell_86,cell_115
