,x_g2,x_g3,x_g4,x_g1,x_g5,x_g6,x_g7,x_g8
0,-0.95469797,-0.026915442,-0.14707257,0.109615386,1.8677753,-0.97473645,0.04007905,0.62360835
2,-1.9461567,-0.6448722,-1.3492076,-1.411728,1.9373399,-0.9622845,-0.6862761,0.5587251
5,-0.79660624,0.1517494,0.2606839,-0.3650369,0.9302315,-0.22734472,-0.51224345,1.1998718
13,-1.0953888,-0.3726766,0.28943297,0.17627911,1.900795,-1.4998587,-0.08652881,0.5654278
22,-0.14097205,-0.49870735,-0.99206036,-1.3251297,-0.034534577,-0.4646478,8.6679225e-05,1.2612733
23,0.9596756,1.0496413,-1.0263472,0.6443191,1.5915427,-0.45116827,-0.8071335,-0.080414966
24,-1.3028593,1.0343804,0.55540437,-0.580951,1.7439921,-0.40837428,-0.5853813,0.4686263
26,0.90921676,1.076697,-0.29140374,-0.11771381,1.5491434,-1.093759,-0.98839027,0.26341113
28,-0.30000252,-1.7939768,-0.092212215,-0.58268344,2.0108027,-0.3613119,-0.77341187,0.26829776
33,0.9674775,1.0820206,-1.0549369,0.031354476,1.6381418,-0.7963521,-1.8295069,-0.023395678
34,-1.1602062,-0.4221569,-0.120659925,-0.4978112,1.8655406,-0.89555556,-0.39289376,0.6963268
37,0.77402,1.1537578,0.29397547,-0.98022294,1.4464055,-1.5267249,-1.7635667,0.4147594
48,-0.35815468,-0.86176497,0.28387246,0.45242998,1.6826371,-0.31857014,0.21271335,0.8430687
50,1.0111547,1.0921586,-0.48061073,-0.5580484,1.5464854,-0.3919083,-0.9762129,0.08496189
51,-1.5890117,-1.0390936,-0.3349826,-0.7084372,1.9169064,-0.70699954,-1.3462318,0.60860103
52,-1.1011077,-0.20562033,0.7612282,-1.0438812,0.11249281,-1.0359392,0.18323503,1.2471731
53,-1.5953685,-0.07816203,0.8401675,-0.32613692,1.9105579,-1.7369045,-0.34440994,0.543487
61,-0.16279644,0.6830799,0.09719144,-1.0018374,1.9019908,-1.2725347,-1.0272365,0.40392873
67,-2.2159617,-1.8206593,-0.0068999375,0.038804527,1.8657647,-0.6353766,-0.8698668,0.6897161
69,0.9756974,1.0605175,0.42911103,-0.7544423,1.6907136,-1.2881566,-0.3601197,-0.12159628
78,-0.39829668,-1.9734828,0.38958275,-0.517721,1.8483803,-0.99183786,-0.99205995,0.726437
