,pseudotime
0,0.4279519
2,0.5222067
5,0.35982513
13,0.4534037
22,0.3730358
23,0.5171495
24,0.44203082
26,0.4852865
28,0.47060812
33,0.5522325
34,0.430421
37,0.5002369
48,0.4375991
50,0.5108243
51,0.50717926
52,0.35972372
53,0.46133274
61,0.4576298
67,0.52343684
69,0.49586418
78,0.48960134
82,0.4744145
87,0.49376494
88,0.42562047
91,0.42629865
110,0.5195152
111,0.49347147
112,0.49367985
113,0.48298237
121,0.48020947
122,0.44963592
127,0.47191983
129,0.35122135
133,0.46625218
139,0.4639493
140,0.54243517
147,0.44621962
153,0.43872738
155,0.4676974
156,0.46505234
159,0.5004237
162,0.48019728
166,0.5477694
168,0.43790615
169,0.5022121
171,0.5245146
172,0.52827126
173,0.46838212
177,0.47141528
186,0.44355592
189,0.4959605
190,0.5408762
201,0.44170135
204,0.4162077
213,0.5391519
218,0.53070164
228,0.50113976
232,0.49460486
237,0.4494026
238,0.49957514
241,0.44069132
244,0.4981444
253,0.4202718
260,0.35888037
263,0.44758278
265,0.50107855
285,0.55335176
295,0.38466382
298,0.40222055
300,0.52888286
302,0.5045148
304,0.439342
305,0.4772869
308,0.46267548
309,0.43182546
312,0.50967693
316,0.461325
324,0.56879646
330,0.43601692
336,0.5578383
342,0.4616262
345,0.45032948
353,0.5418607
360,0.3910018
361,0.48793086
362,0.4613684
373,0.49609473
377,0.5028512
379,0.40995854
380,0.4689981
381,0.47979212
385,0.46250427
389,0.3846472
390,0.4359589
393,0.50185287
394,0.5038056
396,0.5102856
400,0.45434323
417,0.417954
421,0.46143746
422,0.4856328
433,0.48128727
438,0.4571741
448,0.4806028
454,0.4268888
458,0.45751435
460,0.46330404
475,0.49267256
485,0.49633124
488,0.44479063
492,0.4369478
510,0.42007944
516,0.45582741
521,0.39577705
522,0.44049153
524,0.49057376
528,0.41593996
532,0.46426725
533,0.41493663
537,0.4379088
539,0.47170308
540,0.5138995
543,0.45086047
545,0.5719757
548,0.4770849
561,0.49894124
566,0.43726724
569,0.39552724
572,0.4775318
587,0.45869958
595,0.40949443
597,0.52436554
598,0.5521584
604,0.5224321
609,0.52402353
615,0.46936953
616,0.48167
619,0.52689207
626,0.42664567
631,0.5771896
637,0.47770706
643,0.47707054
646,0.50867856
648,0.5065598
651,0.31789207
659,0.45042104
668,0.39435604
669,0.46256
678,0.3088255
679,0.4702093
682,0.46494365
684,0.5290708
689,0.4463981
693,0.42052895
704,0.46405026
711,0.4319252
712,0.43121415
730,0.36795047
733,0.46881503
734,0.44224593
737,0.4563386
742,0.5276989
748,0.4576808
749,0.43390164
757,0.5310345
760,0.43076915
780,0.38308054
785,0.4930635
787,0.48962212
795,0.4304779
796,0.48528537
797,0.5310936
801,0.49359763
806,0.40420026
809,0.464614
817,0.45520633
826,0.50142485
834,0.5287798
837,0.5315446
839,0.4723355
840,0.31793514
841,0.55611247
844,0.5001311
847,0.4943747
848,0.5507426
851,0.47992328
855,0.49672732
857,0.46221247
860,0.47534907
862,0.4689018
868,0.46668893
875,0.45789742
878,0.4169678
884,0.5152662
887,0.4721425
901,0.50034416
904,0.4334891
905,0.45709646
908,0.4777481
909,0.41067612
910,0.41995436
918,0.44632658
921,0.47798845
923,0.43245444
924,0.33246526
926,0.463658
931,0.5218777
934,0.51623154
937,0.4438921
942,0.46030846
944,0.5069981
955,0.4438507
961,0.4448452
966,0.47195148
969,0.4152466
975,0.52879333
977,0.45801216
980,0.45857352
986,0.47113565
987,0.47369698
994,0.4502566
1002,0.43155697
1004,0.4901144
1006,0.4467816
1007,0.47651768
1013,0.43900257
1018,0.36585984
1029,0.5320741
1033,0.46133825
1035,0.50247264
1038,0.45973417
1041,0.4793577
1049,0.43166393
1051,0.5036743
1053,0.4838087
1057,0.44637346
1059,0.49226743
1065,0.43547103
1067,0.5014557
1076,0.54802775
1078,0.40722346
1080,0.46751422
1086,0.5246957
1104,0.4476019
1110,0.40573934
1113,0.4693611
1114,0.3375473
1122,0.4999253
1128,0.45031953
1129,0.48071405
1130,0.4536081
1133,0.4409265
1135,0.4832869
1139,0.46710277
1147,0.47634572
1148,0.4899666
1150,0.49219945
1157,0.48513156
1159,0.52270055
1160,0.4581523
1165,0.42594638
1168,0.41602328
1173,0.53536826
1174,0.46956447
1175,0.4299302
1176,0.45236164
1183,0.5119344
1190,0.49461442
1194,0.46410385
1196,0.45607352
1197,0.45203787
1201,0.4944445
1204,0.44309565
1207,0.48402077
1211,0.5016753
1216,0.4744372
1218,0.54409355
1219,0.506885
1221,0.4798459
1236,0.478969
1238,0.4599086
1242,0.50286907
1246,0.5199038
1262,0.41727343
1263,0.4355303
1264,0.43103358
1265,0.57731485
1267,0.4833891
1269,0.48308933
1270,0.4696003
1282,0.34164038
1283,0.46984386
1290,0.43818668
1292,0.47912002
1298,0.50711805
1300,0.52238053
1302,0.44909403
1304,0.537319
1310,0.43125778
1312,0.5120037
1315,0.47177142
1316,0.43279853
1325,0.42465964
1326,0.51619095
1338,0.4475938
1341,0.45468682
1342,0.5226073
1343,0.5273404
1354,0.5057797
1367,0.47766346
1368,0.44150499
1369,0.4980173
1374,0.47650698
1375,0.4965863
1383,0.48466876
1385,0.4948153
1393,0.32539135
1402,0.4715286
1403,0.38006353
1409,0.46314362
1421,0.55083466
1423,0.45954993
1425,0.33717015
1433,0.501982
1454,0.39212856
1460,0.48133323
1462,0.39907587
1468,0.44641358
1485,0.5251781
1488,0.45852754
1494,0.44597965
1495,0.53100455
1500,0.43305364
1512,0.44846743
1527,0.42614722
1533,0.4669934
1536,0.52277
1537,0.4270838
1548,0.4377816
1553,0.47731063
1554,0.5022384
1557,0.4300866
1566,0.52891135
1567,0.5576935
1568,0.51708484
1569,0.524222
1578,0.48168358
1580,0.49187717
1584,0.45148838
1591,0.45475763
1592,0.5488526
1595,0.51653343
1597,0.4363807
1606,0.45673844
1612,0.44890565
1615,0.56048065
1617,0.4790023
1625,0.47024718
1631,0.47225705
1633,0.49517912
1641,0.55149364
1642,0.40832177
1645,0.4830585
1650,0.4597932
1654,0.49571
1655,0.45501098
1658,0.4518438
1659,0.45240065
1661,0.32683718
1665,0.45325872
1668,0.4721519
1669,0.4384777
