Parent	Type	Child	Weight	Probability	Score
g2	+	g2	0.347694	0.938266	0.382522
g3	+	g2	0.203420	0.321096	0.076588
g4	+	g2	0.208425	0.753490	0.184145
g1	+	g2	0.118499	0.097479	0.013544
g5	-	g2	-0.098646	0.080893	-0.009357
g6	-	g2	-0.065471	0.070446	-0.005408
g7	-	g2	-0.106467	0.101949	-0.012727
g8	+	g2	0.322590	0.999707	0.378143
g2	+	g3	0.484501	0.999021	0.567548
g3	+	g3	0.061170	0.038094	0.002732
g4	+	g3	0.220772	0.446631	0.115618
g1	-	g3	-0.047293	0.029703	-0.001647
g5	+	g3	0.094974	0.065587	0.007304
g6	-	g3	-0.297947	0.560319	-0.195753
g7	-	g3	-0.390858	0.895089	-0.410221
g8	+	g3	0.235425	0.736103	0.203200
g2	+	g4	0.077134	0.222462	0.020120
g3	+	g4	0.156267	0.992745	0.181902
g4	+	g4	0.654335	1.000000	0.767244
g1	+	g4	0.156746	0.952965	0.175148
g5	+	g4	0.025374	0.048277	0.001436
g6	+	g4	0.030905	0.076713	0.002780
g7	+	g4	0.021311	0.055484	0.001386
g8	-	g4	-0.118202	0.993180	-0.137654
g2	+	g1	0.255295	0.681234	0.203926
g3	+	g1	0.033767	0.025197	0.000998
g4	+	g1	0.162434	0.498582	0.094962
g1	+	g1	0.205531	0.336970	0.081208
g5	-	g1	-0.136382	0.147973	-0.023663
g6	-	g1	-0.047210	0.059223	-0.003278
g7	+	g1	0.059477	0.055429	0.003866
g8	+	g1	0.272535	0.996060	0.318303
g2	-	g5	-0.180828	0.363227	-0.077015
g3	+	g5	0.037383	0.029550	0.001295
g4	-	g5	-0.112823	0.263293	-0.034831
g1	-	g5	-0.018393	0.021461	-0.000463
g5	+	g5	0.058347	0.054814	0.003750
g6	+	g5	0.114076	0.151186	0.020223
g7	+	g5	0.266392	0.832116	0.259919
g8	+	g5	0.050726	0.084465	0.005024
g2	-	g6	-0.293089	0.971788	-0.333968
g3	-	g6	-0.083112	0.083046	-0.008093
g4	-	g6	-0.445213	1.000000	-0.522037
g1	-	g6	-0.157758	0.242208	-0.044804
g5	+	g6	0.184858	0.322227	0.069845
g6	+	g6	0.070811	0.089451	0.007427
g7	+	g6	0.085866	0.097803	0.009847
g8	-	g6	-0.111118	0.211961	-0.027617
g2	-	g7	-0.059013	0.053078	-0.003673
g3	-	g7	-0.245778	0.838183	-0.241555
g4	-	g7	-0.389504	1.000000	-0.456715
g1	-	g7	-0.031342	0.025558	-0.000939
g5	-	g7	-0.051105	0.047651	-0.002855
g6	+	g7	0.136309	0.187467	0.029963
g7	+	g7	0.011030	0.041670	0.000539
g8	-	g7	-0.128574	0.271409	-0.040918
g2	+	g8	0.256899	0.628085	0.189197
g3	+	g8	0.128627	0.136824	0.020636
g4	-	g8	-0.312365	0.998558	-0.365738
g1	+	g8	0.190078	0.267207	0.059554
g5	-	g8	-0.091978	0.079592	-0.008584
g6	-	g8	-0.213426	0.360804	-0.090292
g7	+	g8	0.151482	0.181052	0.032159
g8	+	g8	0.852838	1.000000	1.000000
