g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,PseudoTime
0.941616,0.7993352,-2.2868624,-0.20978835,1.1645341999999999,-0.9329662000000001,0.93068284,-2.0264733,-1.0545065,-0.63118696,0.63338816,0.021075572999999997
0.74226874,0.6867026999999999,0.6470745,1.5963483,0.788245,0.15040379999999998,0.575503,-0.07717410000000001,-1.1392659,-0.60829383,-0.47915820000000003,0.068059936
0.5558757,0.69469714,0.64105415,2.3003185,-0.42791322,0.75358075,0.87844104,-2.0414369999999997,-1.6939634999999997,-0.29013449999999996,-0.5320887,0.1516158
0.737428,0.52375257,0.6998539,2.0842085,-0.58133096,1.4872833,0.88001734,-1.2815021,-1.2092804,-1.7914529,-0.14147975,0.18679327
1.0160465,0.729845,-1.994288,-0.9265450999999999,-0.99412936,-1.1681284,0.06427326,-1.6983202000000002,-0.073605455,-0.31242234,-1.4202284,0.021262312000000002
0.70881253,0.6175725000000001,0.8764914,0.8704793,0.042935852000000004,-0.60972565,-0.93753654,-1.0479097,-0.6498136,0.07370043,-0.97935975,0.07528798
0.60558975,0.63665843,0.63163614,0.7399093000000001,2.3668575,-0.8515128000000001,0.7304252,-0.6251511,-0.5513874,-0.4284801,-0.62887084,0.17952200000000001
0.7884722,0.59698594,0.6376136,0.3222946,1.9056032999999999,-0.42097116,-0.06101353,-1.0938482,-0.24766701,0.17620592,-0.11988862,0.13423258
0.96083677,0.80557317,-0.91651434,0.37741122,-0.15100119,-0.43557867,0.6555791,-1.7468379,-0.62419504,-0.3297377,-0.7601574999999999,0.008875771
0.78230095,0.72236484,0.57351553,1.4719284,0.10784597,0.85639334,-0.16695632,-1.3406305,-0.46426705,-0.67959976,0.13314356,0.10473526
1.1809795,-0.9936486999999999,-1.1806228,0.7011646,0.72449523,0.7086401999999999,0.7899608,-0.5049358,-0.31405708,-0.08404078,0.12539284,0.085962854
0.65395594,0.5439425999999999,0.6360253,2.3223019,-0.631104,1.6593509999999998,-1.5461639999999999,-1.1922452,-0.39455265,-0.39041758,-0.72644544,0.21925333
0.65898824,0.6053731,0.6740941,-1.1342368,2.3389902,-0.38274509999999995,-0.41302368,-0.7660376,-0.66603374,-0.77029854,-0.79879934,0.16335134
0.6260335,0.7840921,0.6183142,1.9032037,0.52393657,0.10141183,-1.3941286,-1.0053526,-1.0168318,-0.155003,-0.14032681,0.12674580000000002
