SourceGENES,TargetGENES,Interaction,Edges
g8,g11,2.03055573342909,repression
g9,g8,1.63208526435263,repression
g10,g8,1.44273867221733,repression
g9,g5,1.02990108193002,repression
g6,g8,1,activation
g9,g7,0.970187574616956,repression
g6,g3,0.968899296089752,repression
g10,g7,0.956210894626938,activation
g6,g11,0.931202234610223,activation
g6,g5,0.878439139035645,repression
g4,g8,0.808037059137855,repression
g6,g4,0.786698180635287,repression
g8,g9,0.755245568399665,repression
g9,g3,0.724480841130379,repression
g8,g5,0.662983526165227,repression
g10,g2,0.657494734533385,repression
g6,g7,0.656771260640251,repression
g4,g3,0.637213181615154,repression
g8,g10,0.596161852514511,repression
g8,g3,0.536032322769408,repression
g9,g11,0.488003272762106,repression
g10,g5,0.403112667238263,repression
g10,g3,0.281829913860086,repression
g5,g8,0.241149612137187,repression
g9,g4,0.238074387163318,repression
g5,g11,0.230764351881672,repression
g4,g11,0.210355151571214,repression
g5,g5,0.203138661792632,activation
g9,g2,0.202258775565249,repression
g5,g3,0.188307652594581,repression
g4,g5,0.17656781684023,repression
g6,g6,0.169822410880798,activation
g10,g4,0.164844461737095,repression
g5,g7,0.136185841985039,repression
g6,g9,0.132915222893249,activation
g3,g5,0.0552485406766513,repression
g3,g11,0.0542510276242445,repression
g8,g4,0.0433648246263587,repression
g3,g10,0.0376322141949626,repression
g3,g9,0.0314253923902228,repression
g3,g3,0.0285135192785407,activation
g3,g8,0.0245828843088992,repression
g3,g2,0.00793649036689849,repression
g3,g7,0.00681486403513885,repression
g2,g7,1.41271253334626e-35,repression
g2,g6,9.84770978130517e-36,activation
g2,g11,9.84650276396673e-36,repression
g2,g4,8.56357522070534e-36,repression
g1,g4,7.55986731204987e-36,repression
g11,g8,7.51863782025494e-36,repression
g1,g7,7.50751575739264e-36,activation
g1,g3,6.1295883685172e-36,repression
g7,g11,5.91631852965715e-36,repression
g1,g11,5.53459894207515e-36,repression
g11,g11,4.65202045363541e-36,activation
g1,g6,4.35136896441827e-36,repression
g1,g5,3.74259512519135e-36,activation
g11,g5,3.73474967998982e-36,repression
g11,g3,3.68739255238161e-36,repression
g7,g3,3.56527358478793e-36,repression
g7,g5,2.81536609868349e-36,repression
g1,g8,2.6559470962523e-36,repression
g11,g7,2.59738746939136e-36,repression
g2,g1,2.11580634515174e-36,repression
g7,g9,1.99964185613043e-36,repression
g2,g5,9.71300477196671e-37,repression
g7,g8,7.89241824620815e-37,repression
g7,g10,7.16230481692385e-37,activation
g2,g9,7.04825751944141e-37,repression
g11,g2,6.38120373879691e-37,repression
g7,g4,1.08309872393929e-37,repression
g1,g9,2.13687243795868e-38,repression
g1,g1,0,no regulation
g1,g2,0,no regulation
g1,g10,0,no regulation
g2,g2,0,no regulation
g2,g3,0,no regulation
g2,g8,0,no regulation
g2,g10,0,no regulation
g3,g1,0,no regulation
g3,g4,0,no regulation
g3,g6,0,no regulation
g4,g1,0,no regulation
g4,g2,0,no regulation
g4,g4,0,no regulation
g4,g6,0,no regulation
g4,g7,0,no regulation
g4,g9,0,no regulation
g4,g10,0,no regulation
g5,g1,0,no regulation
g5,g2,0,no regulation
g5,g4,0,no regulation
g5,g6,0,no regulation
g5,g9,0,no regulation
g5,g10,0,no regulation
g6,g1,0,no regulation
g6,g2,0,no regulation
g6,g10,0,no regulation
g7,g1,0,no regulation
g7,g2,0,no regulation
g7,g6,0,no regulation
g7,g7,0,no regulation
g8,g1,0,no regulation
g8,g2,0,no regulation
g8,g6,0,no regulation
g8,g7,0,no regulation
g8,g8,0,no regulation
g9,g1,0,no regulation
g9,g6,0,no regulation
g9,g9,0,no regulation
g9,g10,0,no regulation
g10,g1,0,no regulation
g10,g6,0,no regulation
g10,g9,0,no regulation
g10,g10,0,no regulation
g10,g11,0,no regulation
g11,g1,0,no regulation
g11,g4,0,no regulation
g11,g6,0,no regulation
g11,g9,0,no regulation
g11,g10,0,no regulation
