Gene,StateA,StateB
g5,cell_3,cell_84
g3,cell_3,cell_100
g7,cell_3,cell_915
g1,cell_3,cell_1431
g8,cell_11,cell_208
g1,cell_11,cell_268
g7,cell_11,cell_410
g5,cell_11,cell_596
g4,cell_44,cell_214
g1,cell_44,cell_920
g2,cell_47,cell_317
g8,cell_47,cell_1621
g6,cell_57,cell_131
g5,cell_57,cell_357
g7,cell_57,cell_636
g3,cell_75,cell_84
g6,cell_75,cell_90
g5,cell_75,cell_100
g2,cell_75,cell_180
g7,cell_75,cell_437
g1,cell_75,cell_761
g8,cell_75,cell_1410
g5,cell_84,cell_3
g3,cell_84,cell_75
g8,cell_84,cell_327
g7,cell_84,cell_581
g6,cell_84,cell_1028
g6,cell_90,cell_75
g2,cell_90,cell_329
g5,cell_90,cell_655
g1,cell_90,cell_798
g7,cell_90,cell_816
g3,cell_90,cell_1028
g8,cell_90,cell_1751
g6,cell_95,cell_214
g7,cell_95,cell_431
g8,cell_95,cell_655
g2,cell_95,cell_1439
g1,cell_95,cell_1712
g5,cell_95,cell_1751
g3,cell_100,cell_3
g5,cell_100,cell_75
g2,cell_100,cell_119
g7,cell_100,cell_137
g8,cell_100,cell_214
g1,cell_100,cell_363
g6,cell_100,cell_655
g2,cell_119,cell_100
g5,cell_119,cell_180
g8,cell_119,cell_891
g7,cell_119,cell_1248
g6,cell_131,cell_57
g5,cell_131,cell_149
g7,cell_131,cell_558
g7,cell_137,cell_100
g5,cell_137,cell_437
g8,cell_137,cell_625
g1,cell_137,cell_897
g3,cell_137,cell_915
g2,cell_137,cell_1248
g5,cell_149,cell_131
g7,cell_149,cell_268
g6,cell_149,cell_357
g1,cell_149,cell_410
g2,cell_180,cell_75
g5,cell_180,cell_119
g6,cell_180,cell_329
g1,cell_180,cell_662
g8,cell_180,cell_1479
g8,cell_208,cell_11
g6,cell_208,cell_429
g7,cell_208,cell_568
g5,cell_208,cell_1109
g4,cell_214,cell_44
g6,cell_214,cell_95
g8,cell_214,cell_100
g1,cell_214,cell_445
g7,cell_214,cell_625
g2,cell_214,cell_891
g5,cell_214,cell_1410
g4,cell_267,cell_410
g5,cell_267,cell_1910
g1,cell_268,cell_11
g7,cell_268,cell_149
g5,cell_268,cell_558
g6,cell_268,cell_644
g2,cell_317,cell_47
g8,cell_317,cell_798
g3,cell_317,cell_916
g7,cell_317,cell_1019
g5,cell_317,cell_1712
g1,cell_317,cell_1751
g8,cell_327,cell_84
g3,cell_327,cell_1410
g2,cell_329,cell_90
g6,cell_329,cell_180
g7,cell_329,cell_1187
g1,cell_329,cell_1621
g1,cell_341,cell_437
g7,cell_341,cell_761
g5,cell_341,cell_897
g6,cell_341,cell_1520
g6,cell_349,cell_432
g2,cell_349,cell_747
g5,cell_349,cell_1359
g5,cell_357,cell_57
g6,cell_357,cell_149
g7,cell_357,cell_644
g1,cell_363,cell_100
g8,cell_363,cell_445
g4,cell_363,cell_520
g5,cell_363,cell_761
g7,cell_363,cell_897
g3,cell_363,cell_1431
g6,cell_363,cell_1585
g7,cell_410,cell_11
g1,cell_410,cell_149
g4,cell_410,cell_267
g8,cell_410,cell_568
g6,cell_429,cell_208
g7,cell_429,cell_1359
g1,cell_429,cell_1850
g7,cell_431,cell_95
g6,cell_431,cell_625
g1,cell_431,cell_823
g6,cell_432,cell_349
g5,cell_432,cell_568
g7,cell_432,cell_1109
g7,cell_437,cell_75
g5,cell_437,cell_137
g1,cell_437,cell_341
g3,cell_437,cell_581
g6,cell_437,cell_816
g8,cell_437,cell_940
g1,cell_445,cell_214
g8,cell_445,cell_363
g4,cell_445,cell_920
g7,cell_445,cell_1143
g2,cell_445,cell_1556
g6,cell_445,cell_1712
g5,cell_459,cell_1187
g6,cell_459,cell_1248
g4,cell_520,cell_363
g8,cell_520,cell_920
g7,cell_558,cell_131
g5,cell_558,cell_268
g1,cell_558,cell_596
g6,cell_558,cell_636
g7,cell_568,cell_208
g8,cell_568,cell_410
g5,cell_568,cell_432
g6,cell_568,cell_1359
g2,cell_568,cell_1942
g7,cell_581,cell_84
g3,cell_581,cell_437
g5,cell_581,cell_915
g5,cell_596,cell_11
g1,cell_596,cell_558
g8,cell_596,cell_1109
g8,cell_625,cell_137
g7,cell_625,cell_214
g6,cell_625,cell_431
g5,cell_625,cell_940
g1,cell_625,cell_1143
