Parent	Type	Child	Weight	Probability	Score
g1	+	g1	0.052405	0.089887	0.005989
g2	+	g1	0.084865	0.143486	0.015483
g3	-	g1	-0.095745	0.188632	-0.022964
g4	+	g1	0.010960	0.005094	0.000071
g5	+	g1	0.032926	0.015222	0.000637
g6	+	g1	0.085833	0.106606	0.011635
g7	-	g1	-0.031672	0.012260	-0.000494
g8	-	g1	-0.151082	0.588832	-0.113115
g9	-	g1	-0.786473	1.000000	-1.000000
g10	-	g1	-0.367250	0.999955	-0.466936
g11	-	g1	-0.210104	0.836869	-0.223567
g1	+	g2	0.106078	0.140211	0.018911
g2	+	g2	0.571440	1.000000	0.726586
g3	+	g2	0.368840	1.000000	0.468979
g4	-	g2	-0.045032	0.017824	-0.001021
g5	+	g2	0.058802	0.030863	0.002308
g6	+	g2	0.017482	0.003883	0.000086
g7	+	g2	0.035689	0.009692	0.000440
g8	+	g2	0.028401	0.181048	0.006538
g9	+	g2	0.004027	0.162339	0.000831
g10	+	g2	0.134017	0.292610	0.049861
g11	-	g2	-0.596159	1.000000	-0.758016
g1	+	g3	0.003364	0.050797	0.000217
g2	+	g3	0.536339	1.000000	0.681954
g3	+	g3	0.735419	1.000000	0.935084
g4	-	g3	-0.105862	0.068942	-0.009280
g5	-	g3	-0.033524	0.007565	-0.000322
g6	+	g3	0.086149	0.045286	0.004961
g7	+	g3	0.117661	0.086161	0.012890
g8	+	g3	0.065565	0.201628	0.016809
g9	-	g3	-0.045912	0.177711	-0.010374
g10	+	g3	0.172844	0.410662	0.090251
g11	+	g3	0.132212	0.200349	0.033680
g1	+	g4	0.207154	0.797595	0.210084
g2	-	g4	-0.081195	0.106151	-0.010959
g3	-	g4	-0.062506	0.075134	-0.005971
g4	+	g4	0.063747	0.040858	0.003312
g5	+	g4	0.066457	0.044177	0.003733
g6	+	g4	0.032268	0.009681	0.000397
g7	-	g4	-0.021564	0.004061	-0.000111
g8	-	g4	-0.187371	0.584877	-0.139343
g9	-	g4	-0.197157	0.676069	-0.169480
g10	+	g4	0.034585	0.191966	0.008442
g11	-	g4	-0.154514	0.337884	-0.066382
g1	+	g5	0.005632	0.059379	0.000425
g2	-	g5	-0.001388	0.030081	-0.000053
g3	-	g5	-0.109580	0.182984	-0.025495
g4	-	g5	-0.022124	0.006844	-0.000193
g5	-	g5	-0.043707	0.017936	-0.000997
g6	-	g5	-0.110762	0.119389	-0.016814
g7	+	g5	0.018097	0.003183	0.000073
g8	-	g5	-0.234859	0.852309	-0.254520
g9	-	g5	-0.178302	0.672910	-0.152556
g10	-	g5	-0.311118	0.999931	-0.395559
g11	+	g5	0.021097	0.095790	0.002570
g1	-	g6	-0.144719	0.199857	-0.036776
g2	-	g6	-0.085366	0.104284	-0.011319
g3	+	g6	0.000228	0.001928	0.000001
g4	-	g6	-0.008423	0.004496	-0.000048
g5	+	g6	0.006146	0.003895	0.000030
g6	+	g6	0.072098	0.045755	0.004194
g7	-	g6	-0.122425	0.129735	-0.020195
g8	-	g6	-0.379949	0.986387	-0.476528
g9	-	g6	-0.535752	1.000000	-0.681208
g10	+	g6	0.076364	0.250345	0.024308
g11	+	g6	0.018983	0.093219	0.002250
g1	+	g7	0.111691	0.143447	0.020372
g2	-	g7	-0.034396	0.043341	-0.001895
g3	-	g7	-0.040352	0.025397	-0.001303
g4	-	g7	-0.038884	0.011580	-0.000573
g5	-	g7	-0.095781	0.069133	-0.008419
g6	-	g7	-0.137545	0.143721	-0.025135
g7	+	g7	0.010368	0.002086	0.000028
g8	-	g7	-0.028764	0.197563	-0.007226
g9	+	g7	0.090295	0.235255	0.027010
g10	-	g7	-0.191897	0.513021	-0.125176
g11	-	g7	-0.326007	0.998828	-0.414031
g1	-	g8	-0.010483	0.104422	-0.001392
g2	-	g8	-0.005671	0.056663	-0.000409
g3	+	g8	0.008620	0.073654	0.000807
g4	-	g8	-0.003635	0.008694	-0.000040
g5	-	g8	-0.006230	0.020351	-0.000161
g6	-	g8	-0.001051	0.003004	-0.000004
g7	-	g8	-0.003812	0.006420	-0.000031
g8	+	g8	0.173292	1.000000	0.220341
