Parent	Type	Child	Weight	Probability	Score
g2	+	g2	0.460969	1.000000	0.628239
g3	+	g2	0.082784	0.177546	0.020032
g4	-	g2	-0.109343	0.248768	-0.037071
g1	+	g2	0.409666	1.000000	0.558320
g5	-	g2	-0.097710	0.185879	-0.024753
g6	-	g2	-0.160816	0.702816	-0.154036
g7	-	g2	-0.159883	0.681292	-0.148453
g8	-	g2	-0.137513	0.310105	-0.058118
g2	-	g3	-0.097566	0.095898	-0.012751
g3	+	g3	0.733747	1.000000	1.000000
g4	-	g3	-0.165930	0.168332	-0.038067
g1	-	g3	-0.029576	0.053514	-0.002157
g5	-	g3	-0.171032	0.184891	-0.043097
g6	-	g3	-0.111631	0.102326	-0.015568
g7	-	g3	-0.074568	0.059169	-0.006013
g8	-	g3	-0.175629	0.182358	-0.043649
g2	-	g4	-0.041139	0.063042	-0.003535
g3	-	g4	-0.127997	0.200833	-0.035034
g4	+	g4	0.112268	0.113394	0.017350
g1	-	g4	-0.063451	0.099098	-0.008570
g5	+	g4	0.166447	0.272727	0.061867
g6	+	g4	0.130494	0.192962	0.034317
g7	+	g4	0.163565	0.322356	0.071859
g8	-	g4	-0.182448	0.264037	-0.065653
g2	+	g1	0.235910	1.000000	0.321514
g3	+	g1	0.113187	0.999991	0.154258
g4	+	g1	0.025210	0.043514	0.001495
g1	+	g1	0.506480	1.000000	0.690265
g5	-	g1	-0.016124	0.026437	-0.000581
g6	-	g1	-0.027329	0.080803	-0.003010
g7	-	g1	-0.027038	0.080062	-0.002950
g8	+	g1	0.372817	1.000000	0.508101
g2	-	g5	-0.213623	0.804004	-0.234078
g3	-	g5	-0.101869	0.155079	-0.021530
g4	+	g5	0.109583	0.133952	0.020005
g1	-	g5	-0.218935	0.917776	-0.273845
g5	+	g5	0.212892	0.705975	0.204834
g6	+	g5	0.066351	0.078986	0.007143
g7	+	g5	0.176602	0.453212	0.109081
g8	-	g5	-0.129891	0.190798	-0.033776
g2	-	g6	-0.265735	0.990815	-0.358835
g3	-	g6	-0.152785	0.607274	-0.126450
g4	+	g6	0.064317	0.052897	0.004637
g1	-	g6	-0.503897	1.000000	-0.686745
g5	+	g6	0.230620	0.928216	0.291743
g6	+	g6	0.092991	0.133240	0.016886
g7	+	g6	0.062743	0.080130	0.006852
g8	-	g6	-0.012779	0.084601	-0.001473
g2	-	g7	-0.333554	0.999994	-0.454587
g3	-	g7	-0.124865	0.337230	-0.057388
g4	+	g7	0.070149	0.068902	0.006587
g1	-	g7	-0.460689	1.000000	-0.627859
g5	+	g7	0.197873	0.774111	0.208758
g6	-	g7	-0.006652	0.034905	-0.000316
g7	+	g7	0.053797	0.071166	0.005218
g8	-	g7	-0.228490	0.599077	-0.186553
g2	-	g8	-0.056224	0.183241	-0.014041
g3	-	g8	-0.028488	0.057294	-0.002224
g4	+	g8	0.047966	0.116291	0.007602
g1	+	g8	0.235608	1.000000	0.321102
g5	+	g8	0.080097	0.373530	0.040775
g6	-	g8	-0.006822	0.034594	-0.000322
g7	+	g8	0.047246	0.128600	0.008281
g8	+	g8	0.319676	1.000000	0.435676
