g1,g2,g3,g4,g5,g6,Time
0.8810919,-1.5211449,0.81394047,0.7048148,-1.522802,0.8656729,0.383
1.0700468,-0.10745898,0.5992744000000001,-1.8466493000000002,-1.9635686999999997,0.99727607,0.383
0.37880605,-1.4443008,0.7983640000000001,0.694573,0.69933414,0.87170327,0.9345
0.45442465,-1.5216167,0.63497955,0.7763348000000001,0.75454223,0.8226024,0.9345
1.0811995,-1.6180089,-0.012206096000000001,-0.44357267,-2.5347693,1.1304573,0.383
0.7280982,-2.0340613999999997,0.79896945,0.6263159,0.5554727,0.8192378,0.8614999999999999
-0.5200758,0.8311064,-1.3547386000000001,-0.6256476,1.0612211,-2.1832352000000004,0.8614999999999999
-1.531252,0.8450854999999999,-2.0563197,0.42977262,0.9481537,-1.3279655000000001,0.8614999999999999
-2.0893466,0.6378751,0.73137397,0.7154706999999999,0.80740505,-0.6939031,0.9724999999999999
-0.21186827,1.1208563,-0.9790711,-2.2968495,0.044606347000000005,-1.0354009,0.8115
0.69576675,-2.0673567999999998,0.8453043,0.76858824,0.016420666,0.90080005,0.7230000000000001
1.1212362,0.7789375,-0.44779935,-0.6565377,-0.6123329000000001,-0.55389565,0.7230000000000001
-0.3514446,0.8597035,-0.4629827,-0.2920638,0.9962052,-0.6218843000000001,0.8614999999999999
0.8553371999999999,-1.2932961,0.9157065000000001,0.6384373000000001,-0.9180232,0.8436934000000001,0.383
-1.9795996,0.6690028,0.4105785,0.78034204,0.8674181999999999,-1.3269446000000003,0.9345
0.7703227,-1.6317114,0.8107018,0.7137701999999999,0.14055352,0.88224834,0.7230000000000001
-0.40091926,0.9453982,-1.5974056,-0.7080795999999999,0.89755225,-0.26540872,0.8115
0.9727775,0.7732679,-0.9005573,-0.88748914,0.6589834,-1.0910746,0.7230000000000001
0.95140594,0.9474914000000001,-1.0004728999999999,-0.5717260999999999,-0.6285748000000001,-0.9908822,0.7230000000000001
-0.14875808,0.011293117,0.83447737,0.698458,0.820728,0.68063325,0.9345
